Site,G5,G11,NAWQA,NRSA,WSA,DRAINAGE,SLOP_PCT,ELEV_AVG,ELEV_MIN,ELEV_MAX,ELEV_RNG,ECO3_39,ECO3_45,PPTAVG_C,PPTAVG_B,T_AVG_C,T_AVG_B,T_MIN_B,T_MAX_B,C_Mnprecp,Mnprecip,WD_JAN,WD_MAR,WD_APR,WD_JUL,WD_AUG,Wetdays,ET,PET_B,FST32F_B,LST32F_B,TOPWET,RF,PERHOR,Wat_Tab,CLAYAVE,SANDAVE,KFACT_UP,NO10_AV,BDAVE,MgO_PCT,RECHARGE,Year,DoY
BDB25480,1,1,1,0,0,149.1156,11.23,201.88,103.32,477.4,374.08,0,0,121.4,124.1,10.4,10.2,3.8,16.13,75.94,75.23,9,9.03,10,9,9,1.8,61.53,691.37,283.1,122.35,12.11,153.265,1.92,-9.08,19.42,27.99,0.25,54.36,1.38,2.74,324.77,1999,242
BDB25487,3,4,1,0,0,157.9797,8.7,158.26,40.58,305.07,264.49,0,0,116.8,118.4,11.23,10.8,5.36,16.58,73.03,74.87,9.03,9.54,10.03,9.03,8.81,1.79,64.45,718.66,290.32,115.02,11.95,157.227,3.29,-18.21,20.5,27.54,0.31,76.09,1.4,1.69,285.61,1999,237
BDB26098,4,6,1,0,0,19.1781,17.74,536.28,448.83,627.71,178.88,0,0,111.7,113.1,7.9,7.62,1.78,13.48,67,67.85,14,13,13.57,11.57,11,2.14,53.67,586,272.81,140.32,11.59,110.603,2.97,-36.12,22.8,26.58,0.23,63.72,1.45,1.36,267.11,1998,230
BDB26099,4,7,1,0,0,40.3632,13.29,509.15,428.64,635.05,206.41,0,0,111.8,112.6,8.28,8.22,2.26,14.13,68,68.46,14,13,13,11,11,2.14,55.58,603.71,275,137.31,12.38,110.548,3.96,-16.04,25.98,18,0.3,67.91,1.36,1.29,253.52,1998,231
BDB26100,4,7,1,0,0,27.774,11.98,477.66,411.49,595.09,183.6,0,0,112.7,113.3,8.38,8.38,2.72,14.18,68,68.44,14,13,13,11,10.29,2.15,56.91,608.31,278.82,131.93,12.29,112.533,1.86,-14.26,24.87,19.45,0.3,69.71,1.37,1.5,241.95,1998,231
BDB26102,4,7,1,0,0,28.6713,17.16,415.03,338.89,523.88,184.99,0,0,110.5,112.4,8.79,8.76,2.63,15.12,67.03,67.92,12.84,12.52,12.53,10.89,10.52,2.13,60.55,623,279.16,135.34,12.12,117.265,2.41,-13.58,23.4,22.24,0.29,61.91,1.36,1.46,213.2,1998,227
BDB26103,3,5,1,0,0,26.4717,15.55,369.9,239.98,457.6,217.62,0,0,105.7,107.2,9.6,9.71,3.41,16,58.27,59.62,10.86,10.86,11.01,10.76,9.16,2.1,61.84,653.38,282.01,130.08,11.83,116.42,2.34,-16.3,24.09,20.84,0.3,60.18,1.35,1.27,197.71,1998,227
BDB26110,4,6,1,0,0,15.4269,23.18,363.66,278.4,466.78,188.38,0,0,109.9,109.5,10.74,10.46,4.8,17.15,64,63.82,13,13,13,11,10,2.1,66.45,679.5,283.29,127.71,12.7,111.655,3.2,-15.97,32.83,11.59,0.38,77.76,1.42,1.37,148.35,1998,225
BDB26112,4,6,1,0,0,43.3701,10.19,777.74,727.88,975.38,247.5,0,0,123.9,125,8.64,8.49,2.12,14.92,79.68,80.42,15.42,15,14,13,11.79,2.11,59.34,592.23,268.49,141.01,13.15,123.74,0.96,-14.27,18.72,28.86,0.22,64.53,1.39,1.9,295.8,1998,236
BDB26118,4,8,1,0,0,103.0104,30.41,989.39,689.39,1446.43,757.04,0,0,131.8,141.5,9.34,8.37,1.6,14.08,89.34,97.23,15.56,15.08,14,14.39,12.83,2.02,58.97,605.62,270.84,137.55,11.05,140.365,2.55,-15.98,23.32,23.19,0.24,63.41,1.41,1.73,347.45,1998,236
BDB26124,4,6,1,0,0,55.5318,22.27,364.7,261.22,493.55,232.33,0,0,112.9,113.8,10.91,10.74,4.82,17.4,70.57,70.11,14,13,13,11,10.37,2.07,65.26,693,284.67,126.26,12.81,115.594,3.65,-15.56,29.14,13.96,0.36,74.7,1.38,2.86,148.26,1998,230
