Reach,Ch_bd201,Ch_bd50,Ch_bdg101,Glakes,Missi,Bigriver,Pondup_L,Ponddn_L,Pondup_S,Ponddn_S,Pondupst,Ponddnst,Pond,Pondarea,Damupst,Damdnst,Damup_L,Damdn_L,Order,Downorder,Link,Dlink,Sinuosity,CH_Grad,R_Water,RT_Grass,W_Urban,W_Agri,W_Grass,W_Forest,W_Water,W_Wet,W_Area,W_Perm,W_Slope,W_Darcy,WT_Urban,WT_Agri,WT_Grass,WT_Forest,WT_Alluv,WT_Coars,WT_CMorai,WT_Collu,WT_Dune,WT_Fine,WT_ICont,WT_Lacus,WT_Loess,WT_MMora,WT_OWash,WT_PMuck,WT_Rocky,WT_Sand,WT_Shale,WT_Carb,WT_BR50,WT_BR100,WT_BG100,Wt_Area,WT_Slope,WT_Precip,WT_Perm,WT_JMin,WT_GDD,WT_Darcy
bearc117,1,0,0,0,1,1,49321.73,0,16.14,0,1,0,0,0,1,0,69591.05,0,4,4,62,63,1.08,0,0.0017,0.2639,0,0.2619,0.3205,0.4037,0.0015,0.0832,0.5841,100,1.9846,-11.074,0.0068,0.7538,0.1591,0.0776,0.072,0,0,0,0,0.888,0,0.04,0,0,0,0,0,0,0.0053,0.9947,0.4602,0.2188,0.321,294.0678,0.9589,936.1912,82.059,185,3587.8911,-3.8527
bearc208,0,1,0,0,1,1,76378.45,0,16.14,0,1,0,0,0,1,0,96647.77,0,4,4,76,77,1.753,0.00105193,0.0015,0.2616,0,0.4455,0.2275,0.3241,0.0008,0.1734,4.2408,99.5798,1.4495,-70.42,0.006,0.7216,0.1699,0.0998,0.0814,0,0,0,0,0.8771,0,0.035,0,0,0.0066,0,0,0,0.0046,0.9954,0.451,0.2119,0.3371,335.8809,1.0616,938.0296,83.805,185,3592.3645,-5.4049
bearc270,0,0,1,0,1,1,108361.84,0,16.14,0,1,0,0,0,1,0,128631.17,0,4,5,91,147,1.337,0.00151744,0.0012,0.2629,0,0.3849,0.257,0.3536,0.0004,0.0228,2.4129,99.6457,2.5811,-32.4558,0.0052,0.6799,0.1863,0.1262,0.0806,0,0,0,0,0.881,0,0.0248,0,0,0.0136,0,0,0,0.0033,0.9967,0.4191,0.1926,0.3883,474.5259,1.3391,943.2455,86.4095,185,3603.968,-7.171
bearc281,0.0755,0.9245,0,0,1,1,31630.31,0,5.26,0,1,0,0,0,1,0,138988.54,0,5,5,150,151,1.218,0,0.001,0.2564,0,0.763,0.1381,0.0982,0.0008,0.0197,2.3274,115.3836,1.785,-32.5387,0.0062,0.6673,0.186,0.1386,0.0919,0,0,0,0,0.8816,0,0.0138,0,0,0.0127,0,0,0,0.2146,0.7854,0.4202,0.3216,0.2582,854.1054,1.3806,949.3529,85.8065,183.0122,3612.6428,-8.2407
bearc310,0.4404,0.4301,0.1295,0,1,1,14098.38,0,5.26,0,1,0,0,0,0,0,0,0,4,5,56,147,1.678,0.00106693,0.0008,0.2492,0,0.5825,0.2461,0.1694,0.0006,0.0073,8.1585,96.0886,2.6792,-45.033,0.0075,0.651,0.1856,0.1545,0.0984,0,0,0,0,0.8927,0,0,0,0,0.0089,0,0,0,0.487,0.513,0.419,0.4874,0.0936,373.1733,1.4285,956.7877,84.5722,183.0122,3622.5132,-9.3674
bearc320,1,0,0,0,1,1,23539.3,0,36.1,0,1,0,0,0,1,0,158685.54,0,5,5,157,158,1.059,0,0.0024,0.2571,0,0.6749,0.1801,0.1256,0.0194,0,0.6948,111.8497,2.1671,-188.1684,0.0064,0.6605,0.1876,0.1434,0.0887,0,0,0.0026,0,0.8737,0,0.0131,0,0,0.0219,0,0.0026,0,0.2048,0.7952,0.4406,0.313,0.2464,894.8646,1.4498,950.4218,87.1607,183.0122,3615.8889,-10.8128
bearc340,0.4926,0.5074,0,0,1,1,10233.17,0,5.75,0,1,0,0,0,0,0,0,0,4,4,53,54,1.487,0.00002054,0.0008,0.248,0.0761,0.5108,0.2222,0.1886,0.0006,0.0242,3.159,98.257,2.0365,-109.5291,0.0071,0.6551,0.1827,0.1537,0.0889,0,0,0,0,0.9047,0,0,0,0,0.0064,0,0,0,0.5164,0.4836,0.4166,0.4912,0.0922,351.9261,1.3863,956.2051,83.9506,183.0122,3619.3813,-8.3242
bearc361,1,0,0,0,1,1,36254.42,0,10.48,0,1,0,0,0,0,0,0,0,4,4,39,40,1.573,0.00029069,0.0009,0.2504,0,0.5932,0.2397,0.1649,0.0022,0.0367,2.0574,100,2.154,-27.6185,0.0074,0.6436,0.1859,0.1616,0.0891,0,0,0,0,0.9108,0,0,0,0,0.0001,0,0,0,0.5414,0.4586,0.5073,0.4171,0.0756,265.0554,1.4117,958.1599,84.0608,183.0122,3619.9668,-6.6942
bearc382,0,0.5404,0.4596,0,1,1,45955.52,0,29.37,0,1,0,0,0,1,0,22322.63,0,5,5,191,192,1.383,0.00026111,0.0082,0.2597,0,0.1731,0.1131,0.5774,0.0706,0.6149,3.9402,118.8029,0.2398,-7.9344,0.0058,0.6411,0.196,0.1539,0.0835,0,0,0.0681,0,0.8097,0,0.0112,0.0244,0,0.0276,0,0.0681,0,0.1752,0.8248,0.5002,0.2869,0.2128,1046.4237,1.6138,954.3946,93.066,183.0122,3625.1455,-12.8484
bearc67,0,1,0,0,1,1,50655.26,0,11.74,0,1,0,0,0,1,0,49987.72,0,4,4,42,43,1.791,0,0.0001,0.2754,0,0.5803,0.1211,0.2986,0,0.205,0.7506,100,0.8621,-8.777,0.0048,0.7746,0.1633,0.055,0.0384,0,0,0,0,0.9061,0,0.0554,0,0,0,0,0,0,0.0046,0.9954,0.6083,0.1553,0.2364,211.9779,0.9475,936.9773,82.5778,186,3586.8042,-1.7999
bmudd110,1,0,0,0,0,1,0,148271.19,0,16289.82,0,1,0,0,0,1,0,91836.03,3,3,9,10,1.291,0.00114503,0,0.4279,0,0.2493,0.4898,0.2567,0.0024,0.0606,2.9421,60,1.1679,-24.3166,0.0096,0.3112,0.4438,0.2349,0.1919,0.0058,0,0,0,0.8024,0.0058,0,0,0,0,0,0,0,1,0,1,0,0,49.5963,1.1261,1053.9492,61.1737,188.7084,3958.5569,-7.2376
