Type,NAWQA,NRSA,WSA,DRAINAGE,SLOP_PCT,ELEV_AVG,ELEV_MIN,ELEV_MAX,ELEV_RNG,ECO3_39,ECO3_45,PPTAVG_C,PPTAVG_B,T_AVG_C,T_AVG_B,T_MIN_B,T_MAX_B,C_Mnprecp,Mnprecip,WD_JAN,WD_MAR,WD_APR,WD_JUL,WD_AUG,Wetdays,ET,PET_B,FST32F_B,LST32F_B,TOPWET,RF,PERHOR,Wat_Tab,CLAYAVE,SANDAVE,KFACT_UP,NO10_AV,BDAVE,MgO_PCT,RECHARGE,Year,DoY,CHIRNTAX,CHIRPIND,CHIRPTAX,CRUSNTAX,CRUSPIND,CRUSPTAX,DIPTNTAX,DIPTPIND,DIPTPTAX,EPHENTAX,EPHEPIND,EPHEPTAX,EPOTNTAX,EPOTPIND,EPOTPTAX,EPT_NTAX,EPT_PIND,EPT_PTAX,MOLLNTAX,MOLLPIND,MOLLPTAX,NOINNTAX,NOINPIND,NOINPTAX,ODONNTAX,ODONPIND,ODONPTAX,OLLENTAX,OLLEPIND,OLLEPTAX,ORTHNTAX,ORTHPIND,ORTHPTAX,PLECNTAX,PLECPIND,PLECPTAX,TANYNTAX,TANYPIND,TANYPTAX,TRICNTAX,TRICPIND,TRICPTAX,ORTHCHIRPIND,COFINTAX,COFIPIND,COFIPTAX,COFITRICNTAX,COFITRICPIND,COFITRICPTAX,COGANTAX,COGAPIND,COGAPTAX,PREDNTAX,PREDPIND,PREDPTAX,SCRPNTAX,SCRPPIND,SCRPPTAX,SHRDNTAX,SHRDPIND,SHRDPTAX,BURRNTAX,BURRPIND,BURRPTAX,CLMBNTAX,CLMBPIND,CLMBPTAX,CLNGNTAX,CLNGPIND,CLNGPTAX,SPWLNTAX,SPWLPIND,SPWLPTAX,SWIMNTAX,SWIMPIND,SWIMPTAX,FACLNTAX,FACLPIND,FACLPTAX,INTLNTAX,INTLPIND,INTLPTAX,NTOLNTAX,NTOLPIND,NTOLPTAX,STOLNTAX,STOLPIND,STOLPTAX,TL01NTAX,TL01PIND,TL01PTAX,TL23NTAX,TL23PIND,TL23PTAX,TL45NTAX,TL45PIND,TL45PTAX,TL67NTAX,TL67PIND,TL67PTAX,TOLRNTAX,TOLRPIND,TOLRPTAX,WTD_TV,HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,CHIRDOM1PIND,CHIRDOM3PIND,CHIRDOM5PIND,TOTLNTAX,TotRich,EphemeropteraRich,EphemeropteraAbun,PlecopteraRich,PlecopteraAbun,TrichopteraRich,TrichopteraAbun,NonInsectRich,NonInsectAbun,ChironRich,ChironAbun,Top3Abun,Top5Abun,TraitRich,Volt_1Rich,Volt_2Rich,Volt_3Rich,Devl_1Rich,Devl_2Rich,Devl_3Rich,Sync_1Rich,Sync_2Rich,Life_1Rich,Life_2Rich,Life_3Rich,Exit_1Rich,Exit_2Rich,Desi_1Rich,Desi_2Rich,Disp_1Rich,Disp_2Rich,Flgt_1Rich,Flgt_2Rich,Drft_1Rich,Drft_2Rich,Drft_3Rich,Crwl_1Rich,Crwl_2Rich,Crwl_3Rich,Swim_1Rich,Swim_2Rich,Swim_3Rich,Atch_1Rich,Atch_2Rich,Armr_1Rich,Armr_2Rich,Armr_3Rich,Shpe_1Rich,Shpe_2Rich,Resp_1Rich,Resp_2Rich,Size_1Rich,Size_2Rich,Size_3Rich,Rheo_1Rich,Rheo_2Rich,Rheo_3Rich,Ther_1Rich,Ther_2Rich,Ther_3Rich,Habi_1Rich,Habi_2Rich,Habi_3Rich,Habi_4Rich,Habi_5Rich,Trop_1Rich,Trop_2Rich,Trop_3Rich,Trop_4Rich,Trop_5Rich,TraitAbun,Volt_1Abun,Volt_2Abun,Volt_3Abun,Devl_1Abun,Devl_2Abun,Devl_3Abun,Sync_1Abun,Sync_2Abun,Life_1Abun,Life_2Abun,Life_3Abun,Exit_1Abun,Exit_2Abun,Desi_1Abun,Desi_2Abun,Disp_1Abun,Disp_2Abun,Flgt_1Abun,Flgt_2Abun,Drft_1Abun,Drft_2Abun,Drft_3Abun,Crwl_1Abun,Crwl_2Abun,Crwl_3Abun,Swim_1Abun,Swim_2Abun,Swim_3Abun,Atch_1Abun,Atch_2Abun,Armr_1Abun,Armr_2Abun,Armr_3Abun,Shpe_1Abun,Shpe_2Abun,Resp_1Abun,Resp_2Abun,Size_1Abun,Size_2Abun,Size_3Abun,Rheo_1Abun,Rheo_2Abun,Rheo_3Abun,Ther_1Abun,Ther_2Abun,Ther_3Abun,Habi_1Abun,Habi_2Abun,Habi_3Abun,Habi_4Abun,Habi_5Abun,Trop_1Abun,Trop_2Abun,Trop_3Abun,Trop_4Abun,Trop_5Abun,PTVlt6tol,PTVlt6tax,PTVgt8tol,PTVgt8tax,Iontol,Iontax,Nutrienttol,Nutrienttax,DOTemptol,DOTemptax,SusSedtol,SusSedtax,Finestol,Finestax,
BDB25480,C,1,0,0,149.1156,11.23,201.88,103.32,477.4,374.08,0,0,121.4,124.1,10.4,10.2,3.8,16.13,75.94,75.23,9,9.03,10,9,9,1.8,61.53,691.37,283.1,122.35,12.11,153.265,1.92,-9.08,19.42,27.99,0.25,54.36,1.38,2.74,324.77,1999,242,6,13.99,17.14,0,0,0,6,13.99,17.14,7,14.68,20,18,43,51.43,17,40.27,48.57,2,1.02,5.71,5,8.87,14.29,1,2.73,2.86,1,0.34,2.86,2,2.73,5.71,0,0,0,1,7.85,2.86,10,25.6,28.57,19.51,4,9.22,11.43,3,8.53,8.57,10,23.89,28.57,10,28.67,28.57,10,49.15,28.57,5,7.51,14.29,2,2.73,5.71,8,18.77,22.86,19,69.97,54.29,8,23.89,22.86,3,1.71,8.57,22,65.87,62.86,9,24.23,25.71,27,78.84,77.14,2,4.44,5.71,2,4.78,5.71,12,28.67,34.29,13,45.39,37.14,5,14.33,14.29,3,7.51,8.57,4.27,3.04,12.77,30.5,44.68,56.1,92.68,97.56,35,35,7,43,0,0,10,75,5,26,6,44,86,126,38,4,26,8,15,20,2,7,29,18,13,7,29,9,30,7,20,17,33,1,19,6,12,18,14,5,25,8,5,27,10,23,9,6,13,25,11,27,24,11,3,8,20,10,4,32,2,6,2,4,20,6,13,5,11,8,1,285,80,166,39,78,204,2,20,262,120,97,68,239,46,210,74,182,91,269,1,124,88,61,143,109,31,212,65,8,184,100,122,134,29,83,202,121,164,191,73,21,53,152,80,10,266,9,35,2,29,199,20,122,27,83,52,1,3.909677419,27,8,2,6.144791667,32,4.991666667,32,6.005208333,32,5.467741935,31,5.011458333,32
BDB25487,C,1,0,0,157.9797,8.7,158.26,40.58,305.07,264.49,0,0,116.8,118.4,11.23,10.8,5.36,16.58,73.03,74.87,9.03,9.54,10.03,9.03,8.81,1.79,64.45,718.66,290.32,115.02,11.95,157.227,3.29,-18.21,20.5,27.54,0.31,76.09,1.4,1.69,285.61,1999,237,4,1.69,9.09,0,0,0,7,7.09,15.91,8,35.14,18.18,22,76.01,50,21,75.34,47.73,6,9.12,13.64,9,10.81,20.45,1,0.68,2.27,1,0.34,2.27,1,0.34,2.27,2,2.03,4.55,2,1.01,4.55,11,38.18,25,20,8,31.76,18.18,4,18.58,9.09,9,17.57,20.45,15,22.64,34.09,14,31.76,31.82,5,12.5,11.36,5,2.36,11.36,8,10.14,18.18,26,63.85,59.09,7,10.47,15.91,2,12.84,4.55,23,46.62,52.27,13,40.2,29.55,31,84.46,70.45,2,1.35,4.55,4,10.14,9.09,13,38.18,29.55,14,36.15,31.82,7,4.05,15.91,4,3.04,9.09,3.2,3.33,9.75,27.97,39.41,40,80,100,44,44,8,104,2,6,11,113,9,32,4,7,69,105,52,8,32,12,16,27,8,16,35,20,20,12,44,8,38,14,31,20,37,6,30,11,10,16,28,8,34,14,4,38,13,28,11,13,15,37,15,37,27,21,4,7,28,17,5,44,2,10,1,3,33,5,18,9,15,9,1,296,29,222,45,89,175,31,98,197,125,130,41,286,10,244,52,238,56,242,24,183,52,59,65,195,36,168,89,39,175,109,184,30,82,90,206,58,238,132,152,12,52,87,157,26,265,3,13,1,24,217,41,73,93,112,16,2,3.68974359,31,8,2,5.959126984,42,4.696031746,42,5.593253968,42,5.15,41,4.93015873,42
BDB26098,C,1,0,0,19.1781,17.74,536.28,448.83,627.71,178.88,0,0,111.7,113.1,7.9,7.62,1.78,13.48,67,67.85,14,13,13.57,11.57,11,2.14,53.67,586,272.81,140.32,11.59,110.603,2.97,-36.12,22.8,26.58,0.23,63.72,1.45,1.36,267.11,1998,230,15,46.57,44.12,0,0,0,19,50.18,55.88,5,5.78,14.71,10,21.66,29.41,10,21.66,29.41,0,0,0,2,10.47,5.88,0,0,0,1,0.36,2.94,6,18.77,17.65,0,0,0,5,23.47,14.71,5,15.88,14.71,40.31,6,16.97,17.65,2,11.55,5.88,16,46.93,47.06,6,22.74,17.65,4,19.86,11.76,6,12.64,17.65,6,11.19,17.65,4,22.02,11.76,17,69.31,50,8,40.43,23.53,3,3.97,8.82,20,49.46,58.82,11,30.69,32.35,24,54.15,70.59,1,10.11,2.94,4,2.89,11.76,11,44.04,32.35,9,7.22,26.47,7,25.99,20.59,1,10.11,2.94,4.06,2.69,20.62,47.47,66.15,41.09,78.29,86.05,34,34,5,16,0,0,5,44,2,29,15,137,122,170,42,5,24,13,24,17,0,7,34,28,8,6,21,21,34,8,20,21,39,1,12,8,21,25,16,1,35,4,3,35,6,32,8,2,5,37,10,32,29,12,1,11,25,6,9,33,0,21,0,4,12,5,28,3,3,5,3,285,50,147,88,179,105,0,14,270,167,40,78,141,144,204,81,109,148,253,3,49,63,145,183,100,2,243,34,8,241,42,192,63,30,17,268,87,198,232,52,1,84,164,37,60,225,0,140,0,12,95,38,201,32,10,38,4,3.443333333,24,8,1,5.36047619,35,6.029795918,35,4.600340136,35,5.467296919,34,6.009387755,35
BDB26099,C,1,0,0,40.3632,13.29,509.15,428.64,635.05,206.41,0,0,111.8,112.6,8.28,8.22,2.26,14.13,68,68.46,14,13,13,11,11,2.14,55.58,603.71,275,137.31,12.38,110.548,3.96,-16.04,25.98,18,0.3,67.91,1.36,1.29,253.52,1998,231,14,48.79,45.16,0,0,0,18,60.9,58.06,2,0.69,6.45,8,26.3,25.81,8,26.3,25.81,1,0.35,3.23,3,10.73,9.68,0,0,0,1,0.69,3.23,5,23.18,16.13,2,4.15,6.45,4,17.65,12.9,4,21.45,12.9,47.52,6,31.49,19.35,3,20.07,9.68,14,40.14,45.16,11,34.26,35.48,2,1.73,6.45,3,16.61,9.68,5,15.22,16.13,4,9.69,12.9,12,56.06,38.71,14,45.67,45.16,0,0,0,17,52.6,54.84,8,21.11,25.81,17,49.13,54.84,2,10.38,6.45,3,4.15,9.68,6,28.37,19.35,8,16.61,25.81,10,25.26,32.26,4,11.07,12.9,4.14,2.97,12.92,31.37,45.76,25,52.86,74.29,31,31,2,2,2,12,4,62,3,31,14,151,85,124,35,2,25,8,19,15,0,4,30,23,10,2,16,19,32,3,15,19,31,2,14,4,16,22,10,3,30,5,0,29,6,29,5,1,2,33,10,25,23,9,3,8,21,6,7,27,1,17,0,8,9,1,17,5,1,9,3,296,5,228,63,185,109,0,16,278,187,79,30,120,176,258,38,95,173,247,19,93,25,150,200,85,11,255,41,0,234,62,252,16,28,9,287,82,214,205,81,10,63,170,63,77,218,1,152,0,45,71,28,143,58,4,75,16,3.577272727,17,8,2,5.221510673,29,6.028078818,29,5.642036125,29,5.364890282,29,5.677832512,29
BDB26100,C,1,0,0,27.774,11.98,477.66,411.49,595.09,183.6,0,0,112.7,113.3,8.38,8.38,2.72,14.18,68,68.44,14,13,13,11,10.29,2.15,56.91,608.31,278.82,131.93,12.29,112.533,1.86,-14.26,24.87,19.45,0.3,69.71,1.37,1.5,241.95,1998,231,10,45.24,34.48,1,0.68,3.45,14,55.44,48.28,5,11.9,17.24,9,36.39,31.03,9,36.39,31.03,0,0,0,2,5.1,6.9,0,0,0,0,0,0,4,13.95,13.79,0,0,0,4,27.55,13.79,4,24.49,13.79,30.83,8,47.96,27.59,4,24.49,13.79,10,34.69,34.48,6,23.81,20.69,4,9.86,13.79,3,4.76,10.34,2,3.74,6.9,3,6.8,10.34,18,69.73,62.07,7,23.81,24.14,3,1.7,10.34,19,66.33,65.52,7,24.15,24.14,21,66.33,72.41,1,4.42,3.45,0,0,0,12,47.62,41.38,9,18.71,31.03,5,24.15,17.24,1,4.42,3.45,4.22,2.82,17.37,38.61,52.9,34.09,61.36,81.82,29,29,5,35,0,0,4,72,2,15,10,138,104,145,36,4,21,11,20,16,0,7,28,22,9,5,20,16,30,6,22,13,32,2,12,7,16,18,15,3,27,3,6,29,7,30,5,1,8,28,12,24,24,10,2,7,21,8,7,29,0,12,0,5,13,6,19,8,2,6,1,298,9,192,97,186,112,0,47,249,164,116,18,148,150,263,35,143,142,276,7,108,32,145,163,126,9,248,39,11,224,74,274,11,13,37,261,43,255,171,119,8,92,131,75,47,251,0,148,0,19,109,22,144,75,26,36,17,3.888888889,21,8,1,5.338764881,32,5.520238095,32,5.209449405,32,5.114535985,32,5.400744048,32
BDB26102,C,1,0,0,28.6713,17.16,415.03,338.89,523.88,184.99,0,0,110.5,112.4,8.79,8.76,2.63,15.12,67.03,67.92,12.84,12.52,12.53,10.89,10.52,2.13,60.55,623,279.16,135.34,12.12,117.265,2.41,-13.58,23.4,22.24,0.29,61.91,1.36,1.46,213.2,1998,227,15,35.81,40.54,2,1.01,5.41,18,52.36,48.65,5,5.07,13.51,10,13.85,27.03,9,13.51,24.32,2,0.68,5.41,6,13.18,16.22,1,0.34,2.7,1,1.35,2.7,5,4.05,13.51,0,0,0,5,22.3,13.51,4,8.45,10.81,11.32,8,31.42,21.62,2,7.43,5.41,18,44.26,48.65,10,26.35,27.03,5,13.51,13.51,2,4.05,5.41,5,4.39,13.51,6,8.45,16.22,15,56.42,40.54,13,20.95,35.14,1,1.69,2.7,23,63.85,62.16,7,20.61,18.92,22,60.81,59.46,3,10.81,8.11,0,0,0,14,37.84,37.84,8,22.97,21.62,9,24.32,24.32,4,11.49,10.81,4.56,2.95,15.32,38.31,54.84,35.85,60.38,76.42,37,37,5,15,0,0,4,25,6,39,15,109,97,146,43,7,24,11,21,18,3,6,34,26,7,10,21,22,35,8,19,23,35,2,18,6,18,21,16,6,34,7,2,38,5,31,9,3,7,36,11,32,27,12,4,13,24,6,5,36,1,20,0,7,14,2,25,5,4,8,1,299,67,139,92,147,145,3,35,257,147,53,99,159,140,184,115,152,117,257,3,88,67,114,146,141,12,251,41,7,274,25,198,69,32,17,282,125,174,205,85,9,95,174,30,12,285,1,132,0,36,96,35,174,28,9,66,22,3.826923077,22,8,3,6.098198198,37,5.88043758,37,5.678249678,37,5.840873016,36,6.048519949,37
BDB26103,C,1,0,0,26.4717,15.55,369.9,239.98,457.6,217.62,0,0,105.7,107.2,9.6,9.71,3.41,16,58.27,59.62,10.86,10.86,11.01,10.76,9.16,2.1,61.84,653.38,282.01,130.08,11.83,116.42,2.34,-16.3,24.09,20.84,0.3,60.18,1.35,1.27,197.71,1998,227,5,22.68,23.81,1,0.34,4.76,9,32.3,42.86,2,12.03,9.52,8,53.61,38.1,8,53.61,38.1,0,0,0,3,2.06,14.29,0,0,0,1,0.34,4.76,2,20.27,9.52,1,0.69,4.76,1,1.03,4.76,5,40.89,23.81,89.39,6,38.83,28.57,3,34.36,14.29,9,43.99,42.86,7,27.15,33.33,3,12.37,14.29,2,20.27,9.52,2,19.93,9.52,0,1.03,0,10,86.94,47.62,8,25.09,38.1,1,3.78,4.76,10,50.17,47.62,8,28.18,38.1,15,76.63,71.43,1,1.37,4.76,1,0.69,4.76,11,58.42,52.38,3,17.53,14.29,3,1.72,14.29,1,1.37,4.76,2.88,2.29,25.33,58.22,74.22,86.36,93.94,100,21,21,2,35,1,2,5,119,3,6,5,70,147,191,27,3,20,4,11,15,0,4,21,16,6,5,17,10,22,5,16,10,22,2,11,6,9,13,12,2,21,2,4,19,8,20,6,1,5,22,12,15,17,8,2,1,18,8,5,22,0,6,0,7,10,4,12,6,2,5,2,295,36,221,38,111,183,0,51,242,137,117,41,220,75,239,56,193,98,275,14,120,66,105,119,170,6,253,6,36,171,124,233,58,4,51,244,59,236,166,127,2,3,178,114,71,224,0,83,0,14,159,39,136,110,18,13,18,3.415,15,8,1,6.537121212,22,5.247402597,22,5.114177489,22,5.39491342,22,5.392207792,22
BDB26110,C,1,0,0,15.4269,23.18,363.66,278.4,466.78,188.38,0,0,109.9,109.5,10.74,10.46,4.8,17.15,64,63.82,13,13,13,11,10,2.1,66.45,679.5,283.29,127.71,12.7,111.655,3.2,-15.97,32.83,11.59,0.38,77.76,1.42,1.37,148.35,1998,225,10,45.32,27.78,1,0.37,2.78,17,60.3,47.22,6,3,16.67,12,24.34,33.33,12,24.34,33.33,1,0.37,2.78,4,5.24,11.11,0,0,0,1,1.12,2.78,3,4.49,8.33,2,1.5,5.56,4,32.58,11.11,4,19.85,11.11,9.92,7,34.08,19.44,2,17.98,5.56,13,38.58,36.11,11,15.36,30.56,6,10.11,16.67,4,5.62,11.11,4,2.25,11.11,5,24.72,13.89,19,79.4,52.78,12,29.96,33.33,1,0.37,2.78,22,82.02,61.11,9,10.86,25,22,56.93,61.11,1,3.37,2.78,4,2.25,11.11,10,24.34,27.78,8,30.34,22.22,11,36.7,30.56,3,4.12,8.33,4.75,2.88,17.6,42.49,57.08,33.88,71.07,87.6,36,36,6,8,2,4,4,53,4,14,10,145,99,138,45,6,26,12,22,20,1,10,32,28,9,7,27,17,36,8,25,18,36,4,18,10,15,21,20,3,33,8,3,36,8,32,10,2,8,36,14,30,25,16,3,11,24,9,4,39,1,16,0,9,16,3,21,6,5,9,3,291,31,134,125,169,117,1,33,253,175,77,38,135,155,233,57,103,178,245,31,72,62,147,171,116,3,268,19,3,230,60,241,39,10,12,278,58,232,196,89,5,122,109,59,20,268,2,164,0,26,89,11,171,53,9,32,25,3.628571429,22,8,1,5.636036036,37,5.402059202,37,5.02960103,37,5.36031746,36,5.445817246,37
BDB26112,C,1,0,0,43.3701,10.19,777.74,727.88,975.38,247.5,0,0,123.9,125,8.64,8.49,2.12,14.92,79.68,80.42,15.42,15,14,13,11.79,2.11,59.34,592.23,268.49,141.01,13.15,123.74,0.96,-14.27,18.72,28.86,0.22,64.53,1.39,1.9,295.8,1998,236,12,48.38,32.43,1,0.36,2.7,16,57.4,43.24,6,6.86,16.22,13,31.41,35.14,13,31.41,35.14,0,0,0,3,6.14,8.11,0,0,0,1,0.36,2.7,4,22.74,10.81,1,0.36,2.7,3,21.3,8.11,6,24.19,16.22,47.01,8,46.21,21.62,2,21.3,5.41,16,31.05,43.24,7,19.13,18.92,8,11.55,21.62,4,22.38,10.81,4,21.3,10.81,3,2.53,8.11,22,82.31,59.46,10,30.32,27.03,2,0.72,5.41,24,61.73,64.86,9,11.19,24.32,26,45.85,70.27,2,5.78,5.41,1,0.72,2.7,15,23.1,40.54,10,22.02,27.03,7,27.08,18.92,2,5.78,5.41,4,2.6,21.71,56.98,68.99,42.11,86.47,92.48,37,37,6,19,1,1,6,67,3,17,12,139,147,178,44,7,25,11,24,18,0,6,35,26,10,7,24,19,36,7,25,17,36,4,14,11,17,23,17,3,33,6,4,33,9,34,6,3,7,36,14,29,28,12,3,8,24,11,6,37,0,14,0,7,18,4,23,7,5,7,1,281,16,186,78,179,100,0,21,257,166,84,30,128,152,247,33,87,178,218,45,52,72,141,165,112,3,244,31,5,204,74,247,15,18,19,261,56,224,185,92,3,68,135,77,66,214,0,137,0,20,104,19,156,69,17,34,4,3.8875,26,8,2,5.655291005,36,5.970767196,36,5.207010582,36,5.706147186,35,6.175661376,36
BDB26118,C,1,0,0,103.0104,30.41,989.39,689.39,1446.43,757.04,0,0,131.8,141.5,9.34,8.37,1.6,14.08,89.34,97.23,15.56,15.08,14,14.39,12.83,2.02,58.97,605.62,270.84,137.55,11.05,140.365,2.55,-15.98,23.32,23.19,0.24,63.41,1.41,1.73,347.45,1998,236,11,76.09,42.31,0,0,0,13,78.99,50,6,9.78,23.08,10,16.3,38.46,10,16.3,38.46,0,0,0,2,2.54,7.69,0,0,0,1,0.36,3.85,4,15.22,15.38,1,0.36,3.85,4,44.93,15.38,3,6.16,11.54,20,7,53.26,26.92,3,6.16,11.54,13,48.55,50,5,8.33,19.23,2,5.07,7.69,2,25.36,7.69,2,15.22,7.69,3,15.94,11.54,15,65.58,57.69,7,20.29,26.92,2,5.07,7.69,16,48.19,61.54,7,34.06,26.92,17,56.52,65.38,1,2.17,3.85,3,2.17,11.54,10,35.87,38.46,4,18.48,15.38,6,25.72,23.08,1,2.17,3.85,3.74,2.48,22.51,55.35,70.48,29.33,72.12,90.38,26,26,6,27,1,1,3,17,2,7,11,233,150,196,32,2,20,10,20,11,0,7,24,23,7,2,15,17,30,2,14,17,28,2,9,4,18,20,9,3,22,7,3,28,4,29,2,1,8,24,4,28,19,11,2,10,15,7,5,26,1,15,0,4,8,5,18,5,3,5,1,297,7,108,182,250,46,0,29,267,254,36,7,63,234,285,12,53,238,283,7,31,17,243,246,39,12,263,22,12,274,23,284,7,6,31,266,10,287,241,54,2,183,79,35,45,250,2,231,0,11,33,22,233,28,14,16,6,3.472727273,17,8,1,4.67585034,28,4.962414966,28,4.986394558,28,4.724017957,27,5.011564626,28
