"Taxa","CM00","CM01","CM02","CM03","CM04","CM05","CM06","CM07","CM08","CM09","CM10","GM00","GM01","GM02","GM03","GM04","GM05","GM06","GM07","GM08","GM09","GM10","MK00","MK01","MK02","MK03","MK04","MK05","MK06","MK07","MK08","MK09","MK10","PT00","PT01","PT02","PT03","PT04","PT05","PT06","PT07","PT08","PT09","PT10","TP00","TP01","TP02","TP03","TP04","TP05","TP06","TP07","TP08","TP09","TP10"
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,2,0,2,1,0,3,3,1,1,0,0,2,0,2,1,5,2,0
"27",2,2,1,2,1,3,1,2,2,4,1,9,15,5,3,6,17,12,19,9,6,3,17,17,29,19,14,24,20,16,17,22,20,1,1,4,3,2,0,1,0,1,1,2,1,1,0,3,2,1,1,0,2,0,0
"30",11,5,6,14,6,11,7,13,3,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",13,13,8,2,17,21,11,5,9,4,11,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,0,1,3,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,7,6,6,5,9,3,6,8,7,7,5
"46",11,11,13,7,1,7,4,13,18,10,14,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,2,4,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,4,1,7,7,3,3,4,6,1,7,3
"47",5,3,3,5,11,7,0,5,4,15,15,2,5,1,5,4,1,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",3,0,0,3,4,0,5,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,1,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",345,388,289,351,420,355,293,351,401,283,391,611,719,771,738,702,704,585,490,503,589,657,254,232,254,237,283,239,250,279,250,248,277,395,343,436,352,365,310,370,434,437,338,431,256,282,219,319,377,346,268,256,334,253,213
"77",3,3,0,4,2,0,3,2,3,3,3,2,5,3,0,2,0,0,4,5,6,0,2,4,2,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",8,11,16,12,5,6,10,5,9,5,4,3,2,2,1,1,2,2,8,5,0,2,23,30,13,16,28,30,15,17,21,14,15,31,25,27,36,38,31,26,34,28,25,41,12,10,7,19,20,11,19,6,12,13,11
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,1,2,11,4,5,2,10,1,1,2,1,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",14,14,7,12,9,20,16,16,8,11,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,2,2,1,3,2,5,2,2,5,3,6,2,2,3,0,0,0,0,0,0,0,0,0,0,0
"124",248,198,390,165,234,196,270,278,257,307,216,72,41,73,61,53,52,52,121,80,93,35,39,34,28,36,40,37,40,34,41,45,50,449,428,346,590,284,265,355,276,334,328,306,15,15,10,15,13,7,15,19,14,31,12
"133",13,10,3,7,39,20,13,11,4,17,14,55,65,51,58,57,59,46,59,58,54,64,7,8,21,12,6,25,2,10,8,0,2,2,6,2,0,2,4,1,2,3,3,1,6,2,8,3,10,2,5,3,1,5,6
"135",2,2,2,1,1,2,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",3,2,4,2,5,0,2,4,5,3,1,1,2,0,0,1,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,4,0,1,0,0,2,2,8,3,0,0,6,3,1,0,1,2
"143",1,2,0,2,1,2,0,3,0,0,1,1,1,1,0,0,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"184",3,1,4,5,3,2,5,0,3,5,2,1,0,1,0,2,0,3,3,5,1,0,5,12,1,4,6,13,1,3,9,7,4,16,19,10,18,18,20,11,14,12,15,15,0,0,0,0,0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0,0,0,0,0,3,3,2,4,4,6,4,4,6,2,4,1,2,3,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,6,7,7,6,1,2,5,1,9,6
"196",1,3,0,0,2,0,0,3,2,1,0,6,4,6,3,7,4,5,2,5,8,7,11,7,17,4,22,10,2,7,9,27,8,0,0,0,0,0,0,0,0,0,0,0,8,10,4,2,7,8,8,8,7,12,5
"198",1,2,2,0,0,1,0,1,1,2,1,29,35,28,12,27,34,30,28,34,32,25,11,9,14,7,1,8,8,18,10,6,32,3,3,3,4,2,2,6,4,3,1,2,17,28,21,18,11,9,9,26,22,18,17
"201",96,77,102,88,125,85,63,97,101,78,90,122,125,108,118,97,124,111,105,135,140,118,462,476,449,520,501,494,491,574,564,491,480,25,16,23,29,19,18,17,25,20,28,25,248,193,236,337,198,180,195,338,208,246,272
"202",4,6,6,0,1,4,3,2,5,11,3,2,3,2,3,0,2,2,0,2,2,1,9,5,3,9,18,11,15,13,6,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
