Sample,BAK,BGB,BHC,BKB,BKD,BLB,BLC,BLD,BLG,BLR,BLS,BLT,BOW,BRB,BRS,BUM,CAP,CCF,CMS,COS,CRC,EMS,FCF,FHM,FRD,GHS,GOF,GOL,GOR,GOS,GRC,GRP,GSF,GZS,HFC,JOD,LGD,LMB,LOG,LOP,LOS,MOF,MOO,MUD,NHS,NOP,ORS,PUD,RBS,RES,ROB,ROG,RSF,RVC,RVR,RVS,SAB,SAR,SAS,SCP,SFS,SHD,SHG,SHR,SKH,SMB,SPG,SPS,SRD,STB,STS,SUM,SVC,SVR,SVS,THS,TPM,TRP,ULL,WAE,WAM,WHB,WHC,WHP,WHS,YEB,YEP,YLB
1983Dresden,0,0,0,0,0,1.333333333,0,0,7,0,37.66666667,0,0,0,0,0,52.66666667,4,0,0,0,42.66666667,0,0,0,0,5.666666667,0,0,2,0,0,47,13.33333333,0,0,0,6.333333333,0,0,0,0,0,0,0,0,14,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,1,0,0,1.333333333,0,0
1983Marseilles,0,0,0,0,0,0,3.333333333,0,56,0,85.33333333,0,0,0,0,10.66666667,68,2,0,0,0,74,0,0,2,0,0,0,0,5.333333333,0,0,74,5.333333333,0,0,0,5.333333333,0,0,0,0,0,0,0,0,2,6.666666667,0,0,3.333333333,0,0,4.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1.333333333,15.33333333,0,0
1983Peoria,0,102,0,0,0,0,128.6666667,0,55.33333333,0,1,0,0,0,0,0,240,8.333333333,0,0,0,220.6666667,2,0,160,0,3.333333333,2,0,4,0,0,179.3333333,231.6666667,0,0,0,63,0,1,0,0,0,0,0,0,3.666666667,1.333333333,0,0,0,0,0,79.66666667,0,0,28,0,0,0,0,0,0,0,8.666666667,9.333333333,0,32.33333333,0,0,0,0,0,0,0,9,0,0,0,0,0,32.33333333,30,0,1.333333333,6,0,2.666666667
1983Starved Rock,0,0,0,0,0,0,10.66666667,0,60,0,28,0,0,0,0,1.333333333,53.33333333,0,0,0,0,282.6666667,0,0,1.333333333,0,0,0,0,0,0,0,20,33.33333333,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1.333333333,0,0,0,1.333333333,0,0,4,0,2.666666667,0,74.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1.333333333
1984Dresden,0,0,0,0,0,0,1,0,6,0,282,0,0,0,0,8.666666667,67,1,0,2,0,33.66666667,0,0,0,0,16.66666667,0,0,1.333333333,0,0,40.33333333,23.66666667,0,0,0,1,0,0,0,0,0,0,0,0,59.66666667,1.333333333,0,0,9.333333333,0,0,0,0,0,0,0,6.333333333,0,0,0,0,0,0,2.333333333,0,4,0,1,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1984Marseilles,0,0,0,0,0,0,1.333333333,0,14.66666667,0,401.3333333,0,0,0,0,60,84,0,0,0,0,211.3333333,0,0,0,0,1.333333333,0,0,14.66666667,0,0,62,27.33333333,0,0,0,0,0,0,0,0,0,0,0,0,44.66666667,0,0,0,0,0,0,2,0,16,0,0,399.3333333,0,0,0,0,0,0,0,0,17.33333333,0,0,0,0,8,2,0,0,0,0,0,0,0,0,1.333333333,0,2.666666667,8.666666667,0,0
1984Peoria,0,22.66666667,0,0,0,0,60.8,0,85,0,0,0,0,0,0,0,289.6666667,7.466666667,0,0,0,111.4,0,0,127.2,0,2,0,0,2,0,0,129.8666667,496,0,0,0,59.8,0,0,0,0,0,0,0,0,2,0,0,0,2.8,0,0,41.2,0,0,25.06666667,2,0,0,1,0,1,4,28.33333333,4,0,16.2,0,0,0,1,1,0,0,16,0,0,1,0,1.333333333,36,39.33333333,0,2,7.933333333,0,0
1985Dresden,0,0,0,0,0,0,0,0,2.307692308,0,75.35897436,0,0,0,0,9.333333333,23.17948718,2.307692308,6.666666667,5.769230769,0,34.35897436,0,0,0,0,7.102564103,0,0,1.153846154,0,0,25.12820513,8.435897436,0,0,0,0,0,0,0,0,0,0,0,0,3.641025641,0,0,1.153846154,0,0,0,1.333333333,0,0,0,0,1.153846154,0,0,0,0,2.307692308,0,5.948717949,0,3.641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.307692308,0,0,0
1985Marseilles,0,0,0,0,0,0,0,0,16.34482759,0,516.4137931,0,0,0,0,0,44.62068966,2,0,2,2,302.5517241,0,0,0,0,0,0,0,8.068965517,0,0,81.37931034,12.13793103,0,0,0,18.48275862,0,0,0,0,0,0,0,0,14.48275862,2.068965517,0,52.06896552,12.34482759,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6.068965517,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,6.068965517,0,0
1985Peoria,0,13,0,0,0,0,41.58974359,0,58.84102564,0,0,0,0,0,0,16.10769231,293.4820513,10.02564103,0,0,0,344.8974359,0,0,101.5230769,2,0,1,2,0,0,0,170.7794872,38.4974359,0,0,0,53.58461538,0,0,0,0,0,0,0,0,9.18974359,0,0,14,0,0,0,43.16923077,2,0,20.6,0.923076923,0,0,0,0,0,7.4,0.923076923,1.723076923,0,7.723076923,0,0,0,0,2,0,0,0,0,0,0,0,4,34.67179487,11.71282051,0,1.923076923,3.523076923,0,0
