Sample,secchi,feccol,do,bod5,tss,nh3,p,pH,phen,fe,mn,hg
1983Dresden,14.125,1560,6.2125,6.75,22.125,2.1625,0.6675,6.95,18.25,1,0.06,0.125
1983Marseilles,15.16666667,317.5,7.016666667,7.25,32.83333333,1.075,0.601666667,6.866666667,13.2,0.483333333,0.0742,0.0917
1983Peoria,12,220.9375,7.6125,4.0625,54.59375,0.278125,0.455,7.0125,13.9375,0.771875,0.08875,0.215625
1983Starved Rock,19,237.5,7.325,6.25,43,0.675,0.6125,6.8,12.25,0.625,0.075,0.1
1984Dresden,19,3093.333333,6.85,6.916666667,27.41666667,2.408333334,0.539166667,7.3,25.166667,0.475,0.059166667,0.108333334
1984Marseilles,17.66666667,86.11111112,6.872222222,4.722222222,25.66666667,0.972222222,0.383888889,7.083333333,22.111111,0.361111111,0.0622,0.227777778
1984Peoria,13.58333333,197.3809524,7.666666667,3.380952381,48.02380952,0.202380952,0.413333333,7.15952381,21.2,0.75952381,0.0886,0.121428571
1985Dresden,19.875,2943.333334,6.241666667,4.5,23.16666667,2.308333334,0.636666667,6.908333333,30.416667,0.541666667,0.051666667,0.141666667
1985Marseilles,22.66666667,813.3333332,7.377777778,5.888888889,20.22222222,1.188888889,0.415,6.744444444,23.9,0.461111111,0.053888889,0.1
1985Peoria,14.875,121.4285714,7.795238095,3.142857143,40.73809524,0.314285714,0.311666667,6.776190476,24.5,0.8,0.0862,0.0357
1985Starved Rock,26.5,101.6666667,7.366666667,5.166666667,28.16666667,0.766666667,0.4,6.85,25.166667,0.65,0.06,0.233333333
1989Dresden,25.5,616.6666667,6.583333334,5.814583334,25.60606061,0.746666667,0.522708334,7.345833334,25.583334,0.474166667,0.04625,0.2125
1989Marseilles,17.5,187.0416667,7.7125,3.729166667,70.1875,0.262083333,0.429166667,7.46875,24.458334,1.084791667,0.066041667,0.21875
1989Peoria,11.5,433.0952381,7.676190476,6.119047619,53.57142857,0.137678571,0.290297619,7.659523809,24.5,0.776428571,0.0826,0.220833333
1989Starved Rock,18.5,2546.666667,8.233333333,5.666666667,102.8333333,0.175833333,0.315,7.541666667,23.833333,2.495833333,0.075,0.2
