Site,BGB,BKB,BLB,BLC,BLG,BRB,CAP,CCF,EMS,FRD,GOF,GOL,GOR,GOS,GRP,GSF,GZS,HFC,LMB,LOG,LOP,MOO,RVC,SAB,SAR,SHG,SHR,SKH,SMB,ULL,WAM,WCF,WHB,WHC,WHS,YEB,YLB
BALL65,0,0,27,0,0,0,32,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,0
BALL66,0,0,26,0,0,0,19,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,0,0
BGRA65,0,0,0,2,0,0,29,2,0,2,0,0,0,0,0,0,30,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0
BGRA66,2,0,0,5,1,0,61,16,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1
CHIL65,6,0,2,0,3,0,62,1,0,0,1,0,1,1,0,4,52,0,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
CHIL66,6,0,1,11,34,0,109,0,0,0,0,0,0,0,0,49,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,1,0
CLAR65,1,0,0,0,0,0,19,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
CLAR66,24,1,0,3,1,0,30,1,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,4,2,0,1,0
CWIL65,0,0,0,0,0,0,22,2,0,13,0,1,0,0,0,0,0,0,0,2,0,3,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CWIL66,1,0,0,0,1,0,39,2,0,2,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,2
DARK65,0,0,0,1,0,0,48,7,2,13,0,3,0,0,1,0,7,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,9,3,0,0,0
