SampleID,Site,Reach,YEAR,TimePeriod,RIVER,GEAR,Month
I13_01_1,IR01,1,2013,1,Iroquois,DC,7
I13_01_2,IR01,1,2013,2,Iroquois,DC,9
I13_01_3,IR01,1,2013,3,Iroquois,DC,10
I13_02_1,IR02,1,2013,1,Iroquois,DC,7
I13_02_2,IR02,1,2013,2,Iroquois,DC,9
I13_02_3,IR02,1,2013,3,Iroquois,DC,10
I13_03_1,IR03,2,2013,1,Iroquois,DC,7
I13_03_2,IR03,2,2013,2,Iroquois,AC,9
I13_03_3,IR03,2,2013,3,Iroquois,DC,10
I13_04_1,IR04,2,2013,1,Iroquois,DC,7
I13_05_1,IR05,2,2013,1,Iroquois,DC,7
I13_05_2,IR05,2,2013,2,Iroquois,AC,9
I13_05_3,IR05,2,2013,3,Iroquois,AC,10
I13_06_1,IR06,3,2013,1,Iroquois,DC,7
I13_06_2,IR06,3,2013,2,Iroquois,AC,9
I13_06_3,IR06,3,2013,3,Iroquois,AC,10
I13_07_1,IR07,3,2013,1,Iroquois,DC,7
I13_07_2,IR07,3,2013,2,Iroquois,AC,9
I13_07_3,IR07,3,2013,3,Iroquois,AC,10
I13_08_1,IR08,3,2013,1,Iroquois,DC,7
I13_08_2,IR08,3,2013,2,Iroquois,AC,9
I13_08_3,IR08,3,2013,3,Iroquois,AC,10
I13_09_1,IR09,3,2013,1,Iroquois,DC,7
I13_09_2,IR09,3,2013,2,Iroquois,AC,9
I13_09_3,IR09,3,2013,3,Iroquois,AC,10
I13_10_1,IR10,3,2013,1,Iroquois,DC,7
I13_10_2,IR10,3,2013,2,Iroquois,DC,9
I13_11_1,IR11,4,2013,1,Iroquois,DC,7
I13_11_2,IR11,4,2013,2,Iroquois,DC,9
I13_11_3,IR11,4,2013,3,Iroquois,DC,9
I13_12_1,IR12,4,2013,1,Iroquois,DC,7
I13_12_2,IR12,4,2013,2,Iroquois,DC,8
I13_12_3,IR12,4,2013,3,Iroquois,DC,9
I13_13_1,IR13,4,2013,1,Iroquois,DC,7
I13_13_2,IR13,4,2013,2,Iroquois,DC,8
I13_13_3,IR13,4,2013,3,Iroquois,DC,9
I13_14_1,IR14,4,2013,1,Iroquois,DC,7
I13_14_2,IR14,4,2013,2,Iroquois,DC,8
I13_14_3,IR14,4,2013,3,Iroquois,DC,9
I13_15_1,IR15,4,2013,1,Iroquois,DC,7
I13_15_2,IR15,4,2013,2,Iroquois,DC,8
I13_15_3,IR15,4,2013,3,Iroquois,DC,9
I14_01_1,IR01,1,2014,1,Iroquois,DC,6
I14_01_2,IR01,1,2014,2,Iroquois,DC,8
I14_01_3,IR01,1,2014,3,Iroquois,DC,9
I14_02_1,IR02,1,2014,1,Iroquois,DC,7
I14_02_3,IR02,1,2014,3,Iroquois,DC,9
I14_03_1,IR03,2,2014,1,Iroquois,DC,7
I14_03_3,IR03,2,2014,3,Iroquois,DC,9
I14_04_1,IR04,2,2014,1,Iroquois,DC,7
I14_04_3,IR04,2,2014,3,Iroquois,DC,10
I14_05_1,IR05,2,2014,1,Iroquois,DC,7
I14_05_3,IR05,2,2014,3,Iroquois,DC,10
I14_06_1,IR06,3,2014,1,Iroquois,DC,6
I14_06_3,IR06,3,2014,3,Iroquois,DC,10
I14_07_1,IR07,3,2014,1,Iroquois,DC,6
I14_07_3,IR07,3,2014,3,Iroquois,DC,10
I14_08_1,IR08,3,2014,1,Iroquois,DC,6
I14_08_3,IR08,3,2014,3,Iroquois,DC,10
I14_09_1,IR09,3,2014,1,Iroquois,DC,6
I14_09_3,IR09,3,2014,3,Iroquois,DC,10
I14_10_1,IR10,3,2014,1,Iroquois,DC,6
I14_10_3,IR10,3,2014,3,Iroquois,DC,10
I14_11_1,IR11,4,2014,1,Iroquois,DC,7
I14_11_3,IR11,4,2014,3,Iroquois,DC,10
I14_12_1,IR12,4,2014,1,Iroquois,DC,7
I14_12_2,IR12,4,2014,2,Iroquois,DC,9
I14_12_3,IR12,4,2014,3,Iroquois,DC,10
I14_13_1,IR13,4,2014,1,Iroquois,DC,7
I14_13_2,IR13,4,2014,2,Iroquois,DC,9
I14_13_3,IR13,4,2014,3,Iroquois,DC,10
I14_14_1,IR14,4,2014,1,Iroquois,DC,7
I14_14_2,IR14,4,2014,2,Iroquois,DC,9
I14_14_3,IR14,4,2014,3,Iroquois,DC,9
I14_15_1,IR15,4,2014,1,Iroquois,DC,7
I14_15_3,IR15,4,2014,3,Iroquois,DC,9
I15_01_2,IR01,1,2015,2,Iroquois,DC,9
I15_01_3,IR01,1,2015,3,Iroquois,DC,10
I15_02_2,IR02,1,2015,2,Iroquois,DC,9
I15_02_3,IR02,1,2015,3,Iroquois,DC,10
I15_03_2,IR03,2,2015,2,Iroquois,DC,9
