SampleID,ABL,AME,BAD,BGB,BKB,BLC,BLD,BLG,BLR,BLS,BLT,BNS,BOW,BRS,BUM,CAP,CCF,CCS,CEM,CHS,COS,EMS,FAD,FCF,FRD,GHS,GOF,GOR,GOS,GRC,GRP,GSF,GZS,HFC,HOC,JOD,LCS,LED,LMB,LOG,LOP,LOS,LSS,MMS,NHS,NOP,NSF,ORS,PLS,PRP,PUD,PUM,RAD,RCS,RDS,RES,ROB,RSF,RVC,RVR,RVS,RYS,SAB,SAR,SAS,SDS,SES,SFS,SHD,SHR,SJM,SKH,SMB,SPS,STC,STS,SUM,SVR,THS,TPM,ULL,WAE,WAM,WES,WHB,WHC,WHP,WHS,YEB,YEP,YLB
I13_01_1,0,0,0,1,0,2,0,3,0,8,0,0,0,0,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I13_01_2,0,0,0,0,0,0,0,7,0,11,0,0,0,0,9,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,9,85,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I13_01_3,0,0,0,4,0,0,0,3,0,10,0,0,0,3,6,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,45,0,0,1,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,34,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0
I13_02_1,0,0,0,0,0,1,0,1,0,4,0,0,0,2,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,9,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I13_02_2,0,0,0,0,0,0,0,12,0,14,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,37,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
I13_02_3,0,0,0,3,0,1,0,17,0,6,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,0,0,1,0,0,1,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I13_03_1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,6,0,8,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
I13_03_2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
I13_03_3,0,0,0,0,0,1,0,0,0,2,1,0,0,3,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
I13_04_1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,36,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
