Sample,Type,AME,BCF,BGB,BKB,BLC,BLG,BLR,BLS,BRM,BRS,BUM,BUS,CAP,CCF,CHS,COS,DUD,EMS,FCF,FRD,GOL,GOR,GRC,GSF,GZS,HFC,INS,LMB,LOG,LOP,LOS,MOF,MOM,MOO,NFH,NHS,ORS,RVC,RVS,SAB,SAR,SAS,SCP,SES,SFS,SHG,SHR,SHS,SJM,SKH,SMB,SPB,SPC,SPG,STB,SUM,SVC,SVL,SVM,SVR,THS,ULL,WHB,WHC,YLB
D_1_2M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,1,0,0,0,3,11,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
D_1_2S,2,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
D_1_3M,1,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,1,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,12,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0
D_1_3S,2,0,0,0,0,0,2,0,0,0,0,5,6,0,8,0,2,0,26,0,2,0,0,0,2,24,0,0,13,0,6,0,0,0,0,0,0,0,4,26,6,0,0,0,3,11,0,1,6,0,0,1,6,0,0,0,3,1,0,223,0,0,1,0,0,1
D_2_1M,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,3,7,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0
D_2_1S,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
D_2_2M,1,0,0,0,0,0,0,0,0,0,0,1,9,0,3,7,0,0,17,0,4,0,6,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0
D_2_2S,2,0,0,0,0,0,1,0,0,0,0,21,0,0,2,1,0,0,104,1,4,0,0,1,2,3,0,0,0,0,0,2,4,0,0,0,0,0,7,2,3,0,0,0,1,31,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0
D_2_3M,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,5,0,20,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0
D_2_3S,2,0,0,0,0,0,0,0,0,0,0,2,4,0,88,4,0,0,28,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,1,0,1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,1,0,70,2,0,4,2,0,0
