EPA_Code,Alasmidonta_marginata,Alasmidonta_viridis,Anodontoides_ferussacianus,Arcidens_confragosus,Lasmigona_complanata,Lasmigona_compressa,Lasmigona_costata,Pyganodon_grandis,Strophitus_undulatus,Utterbackia_imbecillis,Amblema_plicata,Cyclonaias_tuberculata,Elliptio_dilatata,Fusconaia_flava,Megalonaias_nervosa,Pleurobema_sintoxia,Quadrula_metanevra,Quadrula_nodulata,Quadrula_pustulosa,Quadrula_quadrula,Tritogonia_verrucosa,Uniomerus_tetralasmus,Actinonaias_ligamentina,Lampsilis_cardium,Lampsilis_fasciola,Lampsilis_siliquoidea,Lampsilis_teres,Leptodea_fragilis,Ligumia_recta,Ligumia_subrostrata,Obliquaria_reflexa,Potamilus_alatus,Potamilus_ohiensis,Toxolasma_parvum,Toxolasma_texasiensis,Truncilla_donaciformis,Truncilla_truncata,Venustaconcha_ellipsiformis,Villosa_lienosa,latitude,longitude,CH_bd50,Ch_bd100,Ch_bdG100,Glakes,Missi,Bigriver,Pondup_L,Ponddn_L,Pondup_S,Ponddn_S,Pondupst,Ponddnst,Pond,Pondarea,Damupst,Damdnst,Damup_L,Damdn_L,Order,Downorder,Link,Dlink,Sinuosity,CH_Grad,R_Water,RT_Grass,W_Urban,W_Agri,W_Grass,W_Forest,W_Water,W_Wet,W_Area,W_Perm,W_Slope,W_Darcy,WT_Urban,WT_Agri,WT_Grass,WT_Forest,WT_Alluv,WT_Coars,WT_CMorai,WT_Collu,WT_Dune,WT_Fine,WT_ICont,WT_Lacus,WT_Loess,WT_MMora,WT_OWash,WT_PMuck,WT_Rocky,WT_Sand,WT_Shale,WT_Carb,WT_BR50,WT_BR100,WT_BG100,WT_Area,WT_Slope,WT_Precip,WT_Perm,WT_AMean,WT_JMin,WT_JMean,WT_JMax,WT_GDD,WT_Darcy
KI_09,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,40.2852268,-91.2529404,1,0,0,0,1,1,49321.73,0,16.14,0,1,0,0,0,1,0,69591.05,0,0,4,62,63,1.08,0,0.0017,0.2639,0,0.2619,0.3205,0.4037,0.0015,0.0832,0.5841,100,1.9846,-11.074,0.0068,0.7538,0.1591,0.0776,0.072,0,0,0,0,0.888,0,0.04,0,0,0,0,0,0,0.0053,0.9947,0.4602,0.2188,0.321,294.0678,0.9589,936.1912,82.059,107.6303,185,246.898,307,3587.8911,-3.8527
KIJ_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.2901605,-91.1784723,0,0,1,0,1,1,2390.6,0,16.14,0,1,0,0,0,0,0,0,0,0,2,8,12,1.44,0.00137245,0.0102,0.215,0,0.4626,0.2123,0.3226,0.0009,0.0391,13.8024,92.844,1.8432,-32.1228,0.0122,0.7729,0.1095,0.1026,0.1204,0,0,0,0,0.8796,0,0,0,0,0,0,0,0,0.0107,0.9893,0,0.5276,0.4724,53.3997,0.7058,931.7578,74.8955,108,185,246.0548,306,3583.4329,-8.685
KI_05,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,40.231329,-91.2654713,0,1,0,0,1,1,76378.45,0,16.14,0,1,0,0,0,1,0,96647.77,0,0,4,76,77,1.753,0.00105193,0.0015,0.2616,0,0.4455,0.2275,0.3241,0.0008,0.1734,4.2408,99.5798,1.4495,-70.42,0.006,0.7216,0.1699,0.0998,0.0814,0,0,0,0,0.8771,0,0.035,0,0,0.0066,0,0,0,0.0046,0.9954,0.451,0.2119,0.3371,335.8809,1.0616,938.0296,83.805,107.7651,185,246.9784,307,3592.3645,-5.4049
KI_08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,40.1634367,-91.3065603,0.0755,0.9245,0,0,1,1,31630.31,0,5.26,0,1,0,0,0,1,0,138988.54,0,0,5,150,151,1.218,0,0.001,0.2564,0,0.763,0.1381,0.0982,0.0008,0.0197,2.3274,115.3836,1.785,-32.5387,0.0062,0.6673,0.186,0.1386,0.0919,0,0,0,0,0.8816,0,0.0138,0,0,0.0127,0,0,0,0.2146,0.7854,0.4202,0.3216,0.2582,854.1054,1.3806,949.3529,85.8065,108.6316,183.0122,246.6279,307,3612.6428,-8.2407
KIF_05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40.1412185,-91.2358525,0.4926,0.5074,0,0,1,1,10233.17,0,5.75,0,1,0,0,0,0,0,0,0,0,4,53,54,1.487,0.00002054,0.0008,0.248,0.0761,0.5108,0.2222,0.1886,0.0006,0.0242,3.159,98.257,2.0365,-109.5291,0.0071,0.6551,0.1827,0.1537,0.0889,0,0,0,0,0.9047,0,0,0,0,0.0064,0,0,0,0.5164,0.4836,0.4166,0.4912,0.0922,351.9261,1.3863,956.2051,83.9506,109.136,183.0122,245.9111,307,3619.3813,-8.3242
KI_10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,40.1226396,-91.4089185,0.2892,0.7108,0,0,1,1,58112.08,0,36.1,0,1,0,0,0,1,0,16165.7,0,0,5,171,191,1.084,0.00172634,0.0033,0.2598,0,0.572,0.2026,0.2195,0.006,0.0596,0.9063,105.864,1.6802,-22.0914,0.0062,0.6523,0.1922,0.1471,0.0836,0,0,0.0431,0,0.8316,0,0.0121,0.0133,0,0.0296,0,0.0431,0,0.1884,0.8116,0.4714,0.3019,0.2267,973.0098,1.5415,952.5408,90.5182,108.9622,183.0122,246.8877,309.9503,3622.894,-12.9736
KIF_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,40.0906559,-91.1637772,0.5,0.5,0,0,1,1,17047.92,0,8.93,0,1,0,0,0,0,0,0,0,0,4,16,17,1.543,0.00085856,0.0013,0.2806,0,0.4533,0.2195,0.3265,0.0005,0.0504,5.2317,99.9085,2.144,-26.09,0.0139,0.6813,0.1852,0.1181,0.0514,0,0,0,0,0.9486,0,0,0,0,0,0,0,0,0.9111,0.0889,0.5664,0.4336,0,118.0089,1.1697,950.9464,82.6613,108.7114,183.0122,245.0895,306,3594.2419,-4.0785
KGA_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0434337,-91.3896219,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,13,1.3,0.00456449,0.0006,0.3369,0,0.5333,0.2949,0.1694,0.0014,0.0138,2.6091,130.5888,2.6299,-2.088,0.0156,0.6135,0.2498,0.1196,0,0,0,0.5542,0,0.147,0,0,0.0455,0,0,0,0.853,0,0.6222,0.3778,0.6344,0.2679,0.0977,60.7266,2.0632,982.593,112.0399,113.1462,188.8907,248.172,310,3726.1521,-1.751
KI_06,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,40.3158084,-91.2399386,0,1,0,0,1,1,50655.26,0,11.74,0,1,0,0,0,1,0,49987.72,0,0,4,42,43,1.791,0,0.0001,0.2754,0,0.5803,0.1211,0.2986,0,0.205,0.7506,100,0.8621,-8.777,0.0048,0.7746,0.1633,0.055,0.0384,0,0,0,0,0.9061,0,0.0554,0,0,0,0,0,0,0.0046,0.9954,0.6083,0.1553,0.2364,211.9779,0.9475,936.9773,82.5778,107.4871,186,247.0974,307,3586.8042,-1.7999
NL_01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,38.3911148,-89.0183399,1,0,0,0,0,1,0,148271.19,0,16289.82,0,1,0,0,0,1,0,91836.03,0,3,9,10,1.291,0.00114503,0,0.4279,0,0.2493,0.4898,0.2567,0.0024,0.0606,2.9421,60,1.1679,-24.3166,0.0096,0.3112,0.4438,0.2349,0.1919,0.0058,0,0,0,0.8024,0.0058,0,0,0,0,0,0,0,1,0,1,0,0,49.5963,1.1261,1053.9492,61.1737,124.3667,188.7084,251.5232,315,3958.5569,-7.2376
