PU_Gap_Code,Reach_Name,Event_Date,Site_Type,DS_Width,DS_Depth,MD_Width,MD_Depth,US_Width,US_Depth,Mean_Width,Mean_Depth,Reach_Length,Number_Units,L_Buffer_Width,R_Buffer_Width,L_Bare_Bank,R_Bare_Bank,Dominant_Substrate,Subdominant_Substrate,Shading,Riffle_Unit_Number,Pool_Percent,Glide_Percent,Run_Percent,Riffle_Percent,Metric1_BufferBare,Metric2_Substrate,Metric3_Shade,Metric4_Riffles,Metric5_Wood,IHI_Score,Substrate_Score,Cover_Score,Channel_Score,Riparian_Score,Pool_Score,Riffle_Score,Gradient_Score,QHEI_Score,Water_Temperature,DO,DO_Saturation,Conductivity,pH,Nitrate,Ammonia,Orthophosphate,Turbidity,Visual_Water_Clarity,Chloride,Chloride_QU
kasky1747,Coffeen Main 1,6/20/17,student_project,3.1,0.18,3,0.25,2.9,16,3,5.47,100,10,Very Wide >100m,Narrow 5-10m,Intermediate,Intermediate,Gravel (8-64mm),Sand (0.062-2mm),75,1,70,0,20,10,5,5,4,2,4,20,13,14,17,8,8,3,10,73,25.3,5.83,71.9,425,8.04,1.1,0.37,0.65,51,50,,
kasky1833,Coffeen Res 1,6/21/17,student_project,2,0.35,1.3,0.15,0.8,0.09,1.36,0.19,100,12,Moderate 10-50m,Wide 50-100m,Abundant,Abundant,Gravel (8-64mm),Sand (0.062-2mm),100,4,60,0,10,30,5,5,4,5,5,24,13.5,14,17,8.5,7,3,10,73,21.6,5.74,65.7,855,7.54,0,0,0.78,11,50,,
kasky1703,Coffeen Res 2,6/21/17,student_project,3.9,0.91,3.3,0.41,3.8,0.78,3.66,0.7,100,1,Very Wide >100m,Moderate 10-50m,Sparse,Sparse,Sand (0.062-2mm),Clay/Hardpan,25,0,100,0,0,0,5,5,2,1,4,17,7.5,13,10,8.5,5,1,6,51,22.8,5.21,59.9,320,7.53,0.05,0,0,32,50,,
kasky12,Copper 1,8/3/16,random,6,0.15,6,0.19,6,0.11,6,0.15,130,2,None <1m,None <1m,None,None,Cobble (64-265mm),Gravel (8-64mm),0,1,0,0,85,15,1,5,1,5,1,13,15.5,11,10,1,2,4,8,51.5,24.3,5.2,60.5,140,6.7,0.03,0,0.06,11,50,,
kasky12,Copper 1,7/7/17,random,4.6,0.19,4.5,0.2,4,0.15,4.55,0.19,100,1,None <1m,None <1m,None,None,Cobble (64-265mm),Gravel (8-64mm),0,0,0,0,100,0,1,5,1,1,4,12,16,8,8,4,1,2,8,47,20.8,7.71,86.7,651,7.79,0.03,0,0.06,11,50,52,2
kasky60,Copper 10,8/11/16,student_project,6,0.16,6,0.25,7,0.2,6.33,0.2,120,1,Very Narrow 1-5m,Very Narrow 1-5m,None,None,Sand (0.062-2mm),Silt ( <0.062mm),0,0,0,0,100,0,1,1,1,1,1,5,5,6,7,4,1,0,2,25,,,,,,,,,,50,,
kasky60,Copper 10,7/31/17,student_project,6.8,0.06,6,0.2,7.1,0.19,6.63,0.15,123,1,None <1m,None <1m,None,None,Sand (0.062-2mm),Silt ( <0.062mm),0,0,0,0,100,0,1,1,1,1,1,5,6,6,6,2,1,1,2,24,31.2,,,456,9.01,,,,,50,<28,1
kasky11,Copper 11,8/18/16,student_project,6,0.52,7,0.5,7,0.31,6.66,0.44,94,1,Very Narrow 1-5m,None <1m,None,None,Cobble (64-265mm),Gravel (8-64mm),0,0,0,0,100,0,1,5,1,1,1,9,16,10,10,4.5,1,2,6,49.5,,,,,,,,,,50,,
kasky11,Copper 11,7/14/17,student_project,5.8,0.41,4.2,0.36,6.3,0.25,5.43,0.34,320,5,None <1m,None <1m,Intermediate,Intermediate,Gravel (8-64mm),Sand (0.062-2mm),0,2,0,0,80,20,2,5,1,1,1,10,13.5,11,10,4,1,5,6,50.5,24.1,10.94,131,659,8.83,,,,,50,52,2
kasky12,Copper 12,8/18/16,student_project,6,0.3,6,0.3,7,0.42,6.33,0.34,97,4,None <1m,Very Narrow 1-5m,None,None,Cobble (64-265mm),Gravel (8-64mm),0,2,0,0,80,20,1,5,1,5,1,13,16,10,10,4.5,1,6,6,53.5,,,,,,,,,,50,,
