Fish_Species_Code,Fish_Species_Common,Fish_Species_Scientific,Historic_Family,Family,Hybrid,Unidentified_Species,Nonnative,IL_Status,IA_Status,MO_Status,KY_Status,IN_Status,Federal_Status,SID,ALTSID,NOTES,FID,GENUS,SPECIES,GID,ITISTSN,OTHERNAMES,FamilyNumber,NATIVE,NONFEED,BENTHIC,SURWCOL,ALGPHYTO,MACVASCU,DETRITUS,INVLVFSH,FSHCRCRB,BLOOD,EGGS,OTHER,MAXTL,MATUAGE,LONGEVITY,FECUNDITY,SERIAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,SEASON,REPSTATE,A_1_1,A_1_2,A_1_3A,A_1_3B,A_1_3C,A_1_4,A_1_5,A_1_6,A_2_3A,A_2_3B,A_2_3C,A_2_4A,A_2_4C,B_1_3A,B_1_4,B_2_2,B_2_3A,B_2_3B,B_2_4,B_2_5,B_2_6,B_2_7A,B_2_7B,B_2_7C,C1_3_4_C24,EURYHALINE,MINTEMP,MAXTEMP,LONGCENTROID,LATCENTROID,MUCK,CLAYSILT,SAND,GRAVEL,COBBLE,BOULDER,BEDROCK,VEGETAT,DEBRDETR,LWD,PELAGIC,PREFLOT,PREFLEN,POTANADR,LACUSTRINE,LOWLAND,UPLAND,MONTANE,LARGERIV,SMALLRIV,SPRGSUBT,CREEK,SLOWCURR,MODCURR,FASTCURR,AREAKM2,PERIMETER,PATCHES,LATRANGE,LONRANGE,LISTED,REASON,LIST1,LIST2,LIST3,LIST4,LIST5,EXTINCT,Tolerance_Level,Dissolved_Oxygen,Nitrite_Nitrate,Total_Phosphorus,Suspended_Sediment_Conc
LAS,lake sturgeon,Acipenser fulvescens,Acipenseridae,Acipenseridae,,,,SE,SE,SE,SE,SE,,Afulvesc,Afulvesc,16,Acipense,Acipenser,fulvescens,Acipense,161071,.,60,1,0,1,0,1,1,0,1,1,0,1,0,274,18,43,1000000,0,0,0,0,0.25,1,0.25,0,0,0,0,0,0,1.5,WI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,467636.2806,2852265.605,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,3943409,14766,3,3095,3455,1,3,1,1,0,0,0,O,,,,,
ALS,alabama shad,Alosa alabamae,Clupeidae,Clupeidae,,,,,,,SE,,,Aalabama,Aalabama,2,Clupeida,Alosa,alabamae,Alosa,161705,.,97,1,0,0,0,1,0,0,1,0,0,0,0,51,4,6,250000,1,0,0.5,1,1,0.5,0,0,0,0,0,0,0,2.5,AL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6,33.3,661859.4449,1257696.692,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,412388,8856,1,1411,1223,1,2,1,1,0,0,0,O,,,,,
SKH,skipjack herring,Alosa chrysochloris,Clupeidae,Clupeidae,,,,,,,,,,Achrysoc,Achrysoc,12,Clupeida,Alosa,chrysochloris,Alosa,161707,.,97,1,0,0,1,0,0,0,1,1,0,0,0,50,2.5,4,300000,0,0,0,0,0,1,1,0,0,0,0,0,0,2,NC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,33.2,531562.8854,1439375.319,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1525526,10205,1,2041,1588,0,0,0,0,0,0,0,O,intermediate,7.296585366,1.198930233,0.197348837,91.72093023
ALE,alewife,Alosa pseudoharengus,Clupeidae,Clupeidae,,,,,,,,,,Apseudoh,Apseudoh,30,Clupeida,Alosa,pseudoharengus,Alosa,161706,.,97,1,0,1,1,0,0,0,1,1,0,0,0,40,3,5.5,300000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,1866952.839,2758756.928,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1280446,17854,3,2500,2924,0,0,0,0,0,0,0,O,intermediate,7.04794964,0.441906475,0.260073381,16.44064748
ROB,rock bass,Ambloplites rupestris,Centrarchidae,Centrarchidae,,,,,,,,,,Arupestr,Arupestr,33,Centrarc,Ambloplites,rupestris,Amblopli,168097,.,349,1,0,1,1,0,0,0,1,1,0,0,0,43,3,8,11000,0,0,0,0,1,1,1,0,0,0,0,0,0,3,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.5,28.7,863228.8707,2268591.432,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,2204814,14698,1,1993,2413,0,0,0,0,0,0,0,O,tolerant,8.652661825,1.317488005,0.108357285,28.178693
WCF,white catfish,Ameiurus catus,Ictaluridae,Ictaluridae,,,X,,,,,,,Acatus,Acatus,10,Ictaluri,Ameiurus,catus,Ameiurus,164037,.,143,1,0,1,1,0,1,1,1,1,0,0,0,95,3.5,11,4000,0,0,0,0,0,0.5,0.75,0,0,0,0,0,0,1.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6,33,1355158.699,1292199.875,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,723248,5488,1,1880,1143,0,0,0,0,0,0,0,O,tolerant,8.46129771,1.146393443,0.268048663,44.69973753
BLB,black bullhead,Ameiurus melas,Ictaluridae,Ictaluridae,,,,,,,,,,Amelas,Amelas,21,Ictaluri,Ameiurus,melas,Ameiurus,164039,.,143,1,0,1,1,1,1,1,1,1,0,0,0,66,2.5,5.5,5495,0,0,0,0,0.75,1,0.5,0,0,0,0,0,0,2.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-7.7,32,90477.20613,1784816.114,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,4141758,11352,1,2835,2461,0,0,0,0,0,0,0,O,tolerant,8.006214039,2.610790588,0.118662191,75.9837727
YEB,yellow bullhead,Ameiurus natalis,Ictaluridae,Ictaluridae,,,,,,,,,,Anatalis,Anatalis,23,Ictaluri,Ameiurus,natalis,Ameiurus,164041,.,143,1,0,1,1,1,1,1,1,1,0,1,0,47,2.5,7,7000,1,0,0,0,1,0.5,0,0,0,0,0,0,0,1.5,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-4.3,31.8,625658.1565,1627310.949,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,3623129,16142,2,2356,2487,0,0,0,0,0,0,0,O,intermediate,7.790215182,1.766358754,0.299429779,489.4278531
BRB,brown bullhead,Ameiurus nebulosus,Ictaluridae,Ictaluridae,,,,,,,,,,Anebulos,Anebulos,24,Ictaluri,Ameiurus,nebulosus,Ameiurus,164043,.,143,1,0,1,0,1,1,1,1,1,0,1,0,55,2.5,11,13000,1,0,0,0,1,0.25,0,0,0,0,0,0,0,1.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8.3,28.1,1107979.61,2032086.491,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,2592343,22794,5,2845,3315,0,0,0,0,0,0,0,O,tolerant,7.8535,0.986269406,0.154348858,25.55925926
BOW,bowfin,Amia calva,Amiidae,Amiidae,,,,,,,,,,Acalva,Acalva,9,Amiidae,Amia,calva,Amia,161104,.,63,1,0,1,1,0,0,0,1,1,0,0,0,109,4,25,64000,0,0,0,0.75,1,1,0,0,0,0,0,0,0,2.75,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-4.8,31.2,839733.8802,1674792.758,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,2109234,17836,1,2615,1874,0,0,0,0,0,0,0,O,tolerant,4.912851986,0.303140684,0.119089695,23.73046875
