"","COMID","A_ligamentina","A_confragosus","E_triquetra"
"1",877996,0,0,0
"2",878002,0,0,0
"3",878040,0,0,0
"4",878042,0,0,0
"5",878122,0,0,0
"6",878196,0,0,0
"7",879488,0,0,0
"8",879492,0,0,0
"9",879536,0,0,0
"10",879546,0,0,0
"11",879560,0,0,0
"12",879570,0,0,0
"13",879588,0,0,0
"14",879602,0,0,0
"15",879608,0,0,0
"16",879656,0,0,0
"17",879668,0,0,0
"18",879678,0,0,0
"19",879698,0,0,0
"20",879702,0,0,0
"21",879746,0,0,0
"22",879754,0,0,0
"23",879764,0,0,0
"24",879784,0,0,0
"25",879790,0,0,0
"26",879802,0,0,0
"27",879834,1,0,0
"28",879836,0,0,0
"29",879882,0,0,0
"30",879898,0,0,0
"31",880464,1,1,0
"32",880468,1,1,0
"33",880472,1,1,0
"34",880480,1,1,0
"35",880484,1,1,0
"36",880486,1,1,0
"37",880490,1,1,0
"38",880494,1,1,0
"39",880512,1,1,0
"40",880526,0,0,0
"41",880530,0,0,0
"42",880532,1,1,0
"43",880536,1,1,0
"44",880542,0,0,0
"45",880544,1,1,0
"46",880560,1,1,0
"47",880562,0,1,0
"48",880580,1,1,0
"49",880586,1,1,0
"50",880596,1,1,0
"51",880604,0,0,0
"52",880606,1,1,0
"53",880614,0,0,0
"54",880618,1,1,0
"55",880622,1,1,0
"56",880624,1,1,0
"57",880626,1,1,0
"58",880636,1,1,0
"59",880640,1,1,0
"60",880644,0,0,0
"61",880646,0,0,0
"62",880648,1,1,0
"63",880652,1,1,0
"64",880666,1,1,0
"65",880668,1,1,0
"66",880678,1,1,0
"67",880764,1,1,0
"68",880776,0,1,0
"69",880782,0,1,0
"70",880784,1,1,0
"71",880786,1,1,0
"72",880788,1,1,0
"73",880800,1,1,0
"74",880802,0,1,0
"75",880820,1,1,0
"76",880824,1,1,0
"77",880826,1,0,0
"78",880828,1,0,0
"79",882682,0,1,0
"80",882686,1,1,0
"81",882688,0,1,0
"82",882710,1,1,0
"83",882724,0,0,0
"84",1838373,0,0,0
"85",1838381,0,1,0
"86",1838393,0,1,0
"87",1838399,0,0,0
"88",1838409,0,1,0
"89",1838461,0,1,0
"90",1838469,0,1,0
"91",1838481,0,1,0
"92",1838485,0,0,0
"93",1838493,0,1,0
"94",1838501,0,1,0
"95",1838511,0,1,0
"96",1838519,0,1,0
"97",1838595,0,0,0
"98",1838613,0,1,0
"99",1838617,0,1,0
"100",1838627,0,0,0
"101",1838633,0,1,0
"102",1838651,0,1,0
"103",1838663,0,1,0
"104",1838669,0,1,0
"105",1838671,0,1,0
"106",1838705,1,1,0
"107",1838727,0,0,0
"108",1838737,0,1,0
"109",1838741,0,0,0
"110",1838753,0,0,0
"111",1838773,0,0,0
"112",1839195,0,0,0
"113",1839259,0,0,0
"114",1839265,0,0,0
"115",1839337,0,0,0
"116",1839341,0,0,0
"117",1839343,0,0,0
"118",1839793,0,1,0
"119",1839805,0,1,0
"120",1839827,1,1,0
"121",1839929,0,1,0
"122",1839931,0,0,0
"123",1839939,0,0,0
"124",1839941,0,0,0
"125",1839947,0,0,0
"126",1839951,0,0,0
"127",1839957,0,0,0
"128",1839963,0,0,0
