"","COMID","SPECIES"
"5",880468,"Actinonaias ligamentina"
"6",880486,"Actinonaias ligamentina"
"20",880678,"Actinonaias ligamentina"
"21",880800,"Actinonaias ligamentina"
"23",882710,"Actinonaias ligamentina"
"33",1839981,"Actinonaias ligamentina"
"245",2927525,"Actinonaias ligamentina"
"246",2927567,"Actinonaias ligamentina"
"247",2927571,"Actinonaias ligamentina"
"248",2927589,"Actinonaias ligamentina"
"268",3597824,"Actinonaias ligamentina"
"269",3598258,"Actinonaias ligamentina"
"270",3598278,"Actinonaias ligamentina"
"271",3598286,"Actinonaias ligamentina"
"272",3598294,"Actinonaias ligamentina"
"274",3598330,"Actinonaias ligamentina"
"275",3598362,"Actinonaias ligamentina"
"276",3601016,"Actinonaias ligamentina"
"277",3601070,"Actinonaias ligamentina"
"278",3607116,"Actinonaias ligamentina"
"410",5089890,"Actinonaias ligamentina"
"520",6965737,"Actinonaias ligamentina"
"521",6965859,"Actinonaias ligamentina"
"522",6966427,"Actinonaias ligamentina"
"820",10079792,"Actinonaias ligamentina"
"821",10079818,"Actinonaias ligamentina"
"822",10079840,"Actinonaias ligamentina"
"824",10080024,"Actinonaias ligamentina"
"825",10080156,"Actinonaias ligamentina"
"826",10080184,"Actinonaias ligamentina"
"827",10080192,"Actinonaias ligamentina"
"828",10080198,"Actinonaias ligamentina"
"830",10080384,"Actinonaias ligamentina"
"831",10080454,"Actinonaias ligamentina"
"832",10080598,"Actinonaias ligamentina"
"833",10080618,"Actinonaias ligamentina"
"834",10080632,"Actinonaias ligamentina"
"835",10080634,"Actinonaias ligamentina"
"836",10080648,"Actinonaias ligamentina"
"837",10080662,"Actinonaias ligamentina"
"838",10080664,"Actinonaias ligamentina"
"839",10080678,"Actinonaias ligamentina"
"840",10080710,"Actinonaias ligamentina"
"841",10080722,"Actinonaias ligamentina"
"842",10080726,"Actinonaias ligamentina"
"843",10080744,"Actinonaias ligamentina"
"845",10080818,"Actinonaias ligamentina"
"846",10080830,"Actinonaias ligamentina"
"847",10080922,"Actinonaias ligamentina"
"848",10080944,"Actinonaias ligamentina"
"849",10080952,"Actinonaias ligamentina"
"850",10080964,"Actinonaias ligamentina"
"851",10081016,"Actinonaias ligamentina"
"852",10081018,"Actinonaias ligamentina"
