"","COMID","Order","Ct_Area","Ws_Area","FertCat","BFICat","Ws_CnDn","Ws_MnDn","Ws_DmDn","Ws_DmNr","Ct_Elev","W_NPDES","Ws_SFDn","Ws_TRI","W_B_TRI","Ct_Ag_K","Ct_Kf","Ct_NnCr","Ct_PctS","Ct_PctA","Ws_PctC","Ws_PctA","Ws_MD_1","W_NABDN","Ct_Ow","Ws_Ow","Ct_B_Cr","Ws_B_Ow","Ws_B_Bl","Ct_Ps97","Ct_Pr10","Ct_Tmx10","Ct_Tmn10","Ct_B_RD","Ct_RdCr","Ct_RdCS","Ws_RdCr","Ws_RdCS","Ct_Rnff","Ct_Om","Ct_Perm","Ct_RckD","Ct_WtDp","Ct_B_Pp","Ws_B_Pp","Ct_WtIn","Ws_WtIn","Ct_CaO","BIO17_x","HUC8_B1","PctGlTC","PctGlLC","PctGlTW","PctGlLW","PctElWs","PLLUC10","PHLUC10","PFrC100","PHGC100","PWtC100","PLLUW10","PHLUW10","PWtW100"
"9.99",877996,4,0.1647,104.1246,36.96174863,17,0,0.009603878,0.048019392,3518.319014,152.1417486,0,0,0,0,0.153661202,0.37,0,0,0,0,0,0,0,0,0.3146231,63.46153846,0.11026878,0.027567195,25.34232147,1035.889156,18.27838313,12.86206314,2.159186602,6.071645416,6.07e-05,0.509005557,0.003546615,276,0.44,2.55,152.4,138.22,15.94670024,16.43104708,809.8415301,860.24812,12.06018,170,259.8002287,100,0,100,0,0,8.653846154,0,17.30769231,0,10.57692308,6.997473007,0.087296118,0.321617276
"9.102",878002,4,0.0198,105.4161,12.13636364,17,0,0.009486217,0.047431085,3475.214507,149.9213636,0,0,0,0,0.050454545,0.37,0,0,0,0,0,0,0,0,0.3107685,18.75,0.107840935,0.026960234,35.65214539,1036.980957,18.31399536,12.89704323,2.159186602,0,0,0.512255718,0.003642633,276,0.44,2.55,152.4,138.22,15.94670024,16.42038297,762.7272727,858.5908272,12.06018,170,259.8002287,100,0,100,0,0,0,0,56.25,0,25,6.843405976,0.085374074,0.354976409
"9.121",878040,4,1.7082,107.3133,28.556902,17,0,0.009318509,0.046592547,3413.775925,158.3165806,0,0,0,0,0.118719705,0.37,0,0,0,0,0,0,0,0.4214963,0.3119837,9.589041096,0.105383332,0.026345833,43.54877613,1037.814881,18.29829773,12.878441,1.016728772,0,0,0.51251802,0.003591316,276,0.44,2.55,152.4,138.22,15.94670024,16.40958814,763.6080084,856.9284031,11.58805,170,259.8002287,100,0,100,0,0,0,0,67.80821918,0,22.60273973,6.709405462,0.083428471,0.829893739
"9.122",878042,4,0.1539,110.9457,0,17,0,0.009013418,0.05408051,5914.707465,148.5266082,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.3017692,0,0.099564406,0.024891101,19.769294,1040.368509,18.36225252,12.94920766,2.606935275,0,0,0.495738005,0.003473735,276,0.44,2.55,152.4,138.22,15.94670024,16.40769864,838.5964912,853.4938632,19.95292,170,259.8002287,100,0,100,0,0,0,0,74.57627119,0,25.42372881,6.376270483,0.078821821,0.896079652
"9.162",878122,4,0.1206,153.4851,30.55223881,17,0,0.00651529,0.039091742,4275.40758,146.6206716,0,0,0,0,0.102985075,0.3,0,0,0,0,0,0,0,0,0.2585919,0,0.075156576,0.016701461,13.52876053,1045.02317,18.41493971,12.9958314,0.172571977,0,0,0.605922008,0.004743835,276,0.949850746,2.755970149,152.4,110.1961194,32.67879591,19.04295884,807.3358209,839.5492409,29.11626,170,259.8002287,100,0,100,0,0,0,0,64.19753086,27.16049383,8.641975309,6.666666667,0.058455114,1.464161447
"9.176",878196,4,2.2617,114.2208,12.3247115,17,0,0.008754973,0.052529837,5745.112624,153.5081815,0,0,0,0,0.047282133,0.35816156,0,0,0,0,0,0,0,0,0.3033598,2.752293578,0.09482418,0.023706045,21.80999871,1041.578316,18.3570747,12.93396504,1.391541296,0.884290578,0.000819799,0.507788424,0.003513428,276,0.716235575,2.712821329,152.4,116.0668603,30.37621394,16.82074549,774.2176681,850.8831474,35.67654,170,259.8002287,100,0,100,0,0,6.946264744,0,61.46788991,7.208387942,21.62516383,6.384828131,0.075069143,1.505333861
"9.201",879488,4,0.2178,153.7029,12.5661157,17,0,0.006506058,0.039036349,4269.349245,144.7082645,0,0,0,0,0.04214876,0.3,0,0,0,0,0,0,0,0,0.2582254,0,0.074987502,0.016663889,8.30412274,1045.679291,18.43020393,13.01176792,0,0,0,0.605063405,0.004737113,276,0.651735537,2.666900826,152.4,122.3147107,44.06978492,19.09925981,842.1942149,839.5529889,29.11626,170.5,259.8002287,100,0,100,0,0,0,0,30.86419753,2.469135802,66.66666667,6.651669166,0.058323612,1.610842637
"9.203",879492,4,0.1719,156.4884,17.22513089,17,0,0.00639025,0.0383415,4193.354651,147.7212042,0,0,0,0,0.054973822,0.3,0,0,0,0,0,0,0,0,0.253629,0,0.073010465,0.016224548,11.4836528,1046.123122,18.44580416,13.04177742,0,0,0,0.600683501,0.004718907,276,0.491099476,2.604188482,152.4,130.8472251,49.15504787,19.3890609,837.4136126,838.2458879,29.11626,171,259.8002287,100,0,100,0,0,0,0,44.44444444,0,55.55555556,6.608799113,0.056785917,1.757659338
"9.224",879536,4,1.2987,172.3032,47.55370755,17,0,0.005803723,0.046429782,5365.502556,147.4864657,0,0,0,0,0.152162162,0.300519751,0,0,0,0,0,0,1127.507208,0,0.2846726,45.30744337,0.065319947,0.014515544,91.71544225,1048.286393,18.45754585,13.04348726,1.258385142,0.77000077,0.001246077,0.620998333,0.005032601,276,1.608011088,3.2397921,152.4,48.6591684,49.15504787,21.03765622,835.031185,834.6631357,29.11626,170.6,259.8002287,100,0,100,0,0,4.854368932,0,11.00323625,0,38.83495146,6.389258498,0.050804403,1.959598403
"9.229",879546,4,0.7893,231.0165,42.76624857,17,0,0.004328695,0.043286951,5160.490355,147.6622007,0,0,0,0,0.138095781,0.304777651,0,0,0,0,0,0.004328695,840.9490231,0,0.4067242,10,0.104424779,0.030088496,33.18188127,1050.014059,18.47700003,13.06854939,0.344046041,0,0,0.597359929,0.004857263,276,1.331698974,3.263443558,152.4,78.95148233,49.15504787,33.76448834,788.3158495,833.0640084,29.93878,171,259.8002287,87.68529076,0,99.95441884,0,0.04558116,0,0,50.35714286,0,39.64285714,6.955752212,0.123893805,1.948672567
