Site,Reach,Year,SR,secchi,SumOfDP01,SumOfDP05,SumOfDP10,SumOfDT00,SumOfDT32,SumOfDT90,SumOfDX32,SumOfDSNW,EMXPavgcm,EMXPmaxcm,EMXPmincm,MXSDmaxcm,TPCPmaxcm,TPCPcm,TPCPavgcm,TPCPmincm,TSNWcm,EMNTavgC,EMNTmaxC,EMNTminC,EMXTavgC,EMXTmaxC,EMXTminC,MMNTavgC,MMNTmaxC,MMNTminC,MMXTavgC,MMXTmaxC,MMXTminC,MNTMavgC,MNTMmaxC,MNTMminC,qmean,qmin,qmax,qltefavg,FecCol,TempC,Domg,BOD5,tss,NH3,Phos,pH,phenmgl,Fe,Pb,Mn,Hg,Ni,Ag,Zn,As,Cd,Cr,Cu,phenugl
Dres1983,Dresden,1983,17,14.13,69,29,15,9,116,47,45,43,4,7.32,0.74,20.32,18.01,120.07,10.01,1.85,94.23,-3.61,13.33,-28.89,25.23,37.78,3.89,5.58,19.72,-12.11,15.47,32,-5.11,10.54,25.89,-8.61,12046.36,3840,61300,9420,1560,22.5,6.21,6.75,22.13,2.16,0.67,6.95,0.02,1,0.02,0.06,0.13,0.1,0,0.02,0,0,0.01,0.03,18.25
Dres1984,Dresden,1984,23,19,77,27,9,4,117,23,42,65,3,5.41,0.89,22.86,12.9,102.54,8.54,2.92,100.84,-3.7,11.67,-27.22,25,36.67,6.67,5.3,18,-10.89,15.47,30.72,-2.28,10.4,24.39,-6.56,10554.1,3470,59300,9740,3093.33,22.67,6.85,6.92,27.42,2.41,0.54,7.3,0.03,0.47,0.03,0.06,0.11,0.05,0,0.1,0.02,0,0,0.02,25.17
Dres1985,Dresden,1985,20,19.88,74,28,8,15,114,12,63,60,3.02,8.08,1.52,43.18,19.38,103.05,8.59,3.33,89.15,-3.24,15.56,-31.67,24.17,36.11,2.78,5.21,18.67,-12.33,14.51,28.78,-3.83,9.88,23.72,-8.06,12487.97,3520,77000,8120,2943.33,19.92,6.24,4.5,23.17,2.31,0.64,6.91,0.03,0.54,0.01,0.05,0.14,0.03,0,0.06,0,0,0.01,0.01,30.42
Dres1989,Dresden,1989,16,25.5,53,20,4,10,117,13,54,64,2.47,5.28,0.23,20.32,10.72,75.11,6.26,1.27,87.38,-3.33,17.22,-25,25.65,38.33,9.44,5.45,20.44,-11.72,14.78,29,-3.56,10.13,24.72,-7.61,8360.99,2960,38300,11900,616.67,22.27,6.58,5.81,25.61,0.75,0.52,7.35,0.03,0.47,0.01,0.05,0.21,0.06,0.01,0.09,0.05,0.01,0.01,0.01,25.58
Dres1990,Dresden,1990,17,24.5,77,33,14,1,104,13,18,30,4.06,9.37,1.55,20.32,17.86,125.58,10.46,3.84,55.37,-1.11,15.56,-20.56,27.55,37.78,13.33,7.31,19.17,-4.89,16.71,28.06,3.67,12.02,23.44,-0.61,14181.29,3640,80900,8590,2721,18.87,7.24,5.65,34,0.81,0.43,7.31,0.02,0.47,0.01,0.05,0.19,0.06,0.01,0.08,0.06,0.01,0.01,0.01,19
Dres1991,Dresden,1991,17,30.5,70,28,10,1,110,37,37,50,2.75,6.73,0.69,20.32,22.96,97,8.08,1.57,78.23,-0.97,15.56,-18.33,26.81,38.89,7.78,7.3,20.17,-8.39,16.71,31.22,-1,12.02,25.72,-4.67,12411.59,2630,52200,3050,875,23.16,7.16,4.11,19.44,0.55,0.81,7.39,0.02,0.27,0.01,0.03,0.16,0.02,0,0.03,0.01,0.01,0.01,0.01,21.67
Dres1992,Dresden,1992,14,21,69,17,4,3,103,9,19,28,2.42,8.26,0.28,12.7,17.4,79.32,6.61,0.64,60.96,-1.99,15.56,-21.67,24.4,33.89,8.33,6.29,17.89,-4.5,15,26.17,2.33,10.66,22.06,-1.06,9687.95,4100,37000,11400,915,17.97,6.74,3.17,20.58,0.54,0.83,7.06,0,0.39,0,0.03,0,0.02,0,0.05,0,0,0,0.01,1.92
Dres1993,Dresden,1993,20,20,89,30,14,1,115,15,44,46,3.06,7.9,0.81,20.32,33.1,126.09,10.51,2.54,108.97,-2.64,15.56,-19.44,23.84,35,11.11,5.89,20.17,-6.72,14.63,29.11,0.5,10.28,24.67,-3.11,18430.3,6290,61400,8810,875.83,20.67,7.28,1.33,22,0.38,0.72,7.15,0.01,0.27,0.01,0.04,0.25,0.05,0,0.08,0.01,0.01,0.01,0.01,8.42
Dres1994,Dresden,1994,22,27.5,63,21,5,13,102,19,43,57,2.39,6.68,0.74,43.18,14.83,79.63,6.64,1.73,105.41,-2.22,13.89,-28.89,25.74,35.56,5.56,5.97,18.28,-12.11,15.38,28.44,-4.56,10.69,23.39,-8.33,9447.01,2440,37300,4970,1506.67,18.67,5.09,1.6,22.83,0.78,0.97,7.46,0.01,0.46,0,0.05,0.03,0,0,0.17,0,0,0,0.01,5.08
Dres1996,Dresden,1996,19,24.5,68,21,8,6,128,15,46,23,3.82,14.53,0.81,20.32,26.14,102.59,8.55,1.42,72.64,-4.07,15,-27.22,25,34.44,11.11,5.17,19,-8.06,14.31,28.22,0.33,9.75,23.61,-3.83,10477.21,3120,71900,5175,647.5,22.29,7.13,0.39,25.63,0.29,0.85,7.31,0.01,0.41,0,0.04,0,0,0,0.07,0,0,0,0.01,5
Dres1997,Dresden,1997,20,56,72,18,8,8,125,17,42,49,2.73,8.26,0.71,22.86,17.17,85.6,7.13,3.2,108.46,-2.04,12.78,-22.22,25.28,37.22,10.56,5.56,18.83,-10.78,14.43,29.11,-1.61,10.01,24,-6.17,11090.41,2940,89600,4870,785,27.85,6.5,1.5,18,0.13,0.73,7.26,0.01,0.3,0,0.03,0.15,0.01,0,0.09,0,0,0,0.01,6.5
Dres1999,Dresden,1999,16,60,70,24,10,6,97,29,31,45,2.5,4.78,0.66,53.34,17.27,95.15,7.93,1.68,142.24,-0.74,15,-26.11,26.85,40,11.11,7.35,22.5,-8.44,16.81,32.28,-0.67,12.09,27.39,-4.56,9009.7,1460,46000,2360,887.5,24.6,7.14,2.75,18.75,0.18,1.1,7.98,0.01,0.29,0,0.03,0.03,0,0,0.05,0,0,0,0.01,8.75
Dres2000,Dresden,2000,13,63.5,79,29,10,10,111,12,49,59,3.06,10.57,0.79,50.8,16.46,104.44,8.7,2.97,172.72,-1.76,14.44,-21.67,25.88,34.44,3.33,6.51,19.33,-11.5,15.71,28.56,-3.28,11.13,23.94,-7.39,7296.5,1910,43800,5420,615,24.09,7.58,2.92,24,0.3,1.02,7.43,0.01,0.4,0.02,0.04,0.06,0.01,0,0.03,0.03,0,0,0.01,7.92
Dres2001,Dresden,2001,21,53.5,84,27,7,1,105,23,39,43,3.05,9.09,0.61,40.64,18.59,101.45,8.45,2.87,34.29,-0.69,15,-17.78,25.32,36.11,6.11,7.1,20.11,-6.5,16.03,29.89,0.11,11.58,25,-3.06,10598.74,2730,61000,7800,331.67,24.26,7.96,3,27,0.25,0.89,7.36,0.01,0.6,0.01,0.05,0.03,0,0,0.04,0.01,0,0.01,0.01,7.33
Dres2002,Dresden,2002,18,69.5,68,19,6,1,110,33,27,48,2.78,6.63,0.89,22.86,14.83,83.87,6.99,1.98,114.3,-1.44,16.11,-20,25.93,36.67,12.78,7.04,21.78,-4,15.9,31.06,2.67,11.48,26.44,-0.67,9250.63,461,76700,3210,101.25,24.12,7.76,3.33,26.42,0.2,0.92,7.49,0.01,0.72,0.01,0.04,0.04,0.01,0,0.04,0.01,0,0.01,0.02,10.25
