Species,Variable,X,Y
BAD,WT_Jmin,0,0.180134113
BAD,WT_Jmin,4.099454,0.180134113
BAD,WT_Jmin,8.198908,0.180134113
BAD,WT_Jmin,12.298362,0.180134113
BAD,WT_Jmin,16.397816,0.180134113
BAD,WT_Jmin,20.49727,0.180134113
BAD,WT_Jmin,24.596724,0.180134113
BAD,WT_Jmin,28.696178,0.180134113
BAD,WT_Jmin,32.795632,0.180134113
BAD,WT_Jmin,36.895086,0.180134113
BAD,WT_Jmin,40.99454,0.180134113
BAD,WT_Jmin,45.093994,0.180134113
BAD,WT_Jmin,49.193448,0.180134113
BAD,WT_Jmin,53.292902,0.180134113
BAD,WT_Jmin,57.392356,0.180134113
BAD,WT_Jmin,61.49181,0.180134113
BAD,WT_Jmin,65.591264,0.180134113
BAD,WT_Jmin,69.690718,0.180134113
BAD,WT_Jmin,73.790172,0.180134113
BAD,WT_Jmin,77.889626,0.180134113
BAD,WT_Jmin,81.98908,0.180586687
BAD,WT_Jmin,86.088534,0.180586687
BAD,WT_Jmin,90.187988,0.180586687
BAD,WT_Jmin,94.287442,0.180586687
BAD,WT_Jmin,98.386896,0.180586687
BAD,WT_Jmin,102.48635,0.180586687
BAD,WT_Jmin,106.585804,0.180586687
BAD,WT_Jmin,110.685258,0.180586687
BAD,WT_Jmin,114.784712,0.180586687
BAD,WT_Jmin,118.884166,0.180586687
BAD,WT_Jmin,122.98362,0.180586687
BAD,WT_Jmin,127.083074,0.180586687
BAD,WT_Jmin,131.182528,0.180586687
BAD,WT_Jmin,135.281982,0.180586687
BAD,WT_Jmin,139.381436,0.180586687
BAD,WT_Jmin,143.48089,0.180586687
BAD,WT_Jmin,147.580344,0.180586687
BAD,WT_Jmin,151.679798,0.180586687
BAD,WT_Jmin,155.779252,0.180586687
BAD,WT_Jmin,159.878706,0.179472038
BAD,WT_Jmin,163.97816,0.157270181
BAD,WT_Jmin,168.077614,0.142807232
BAD,WT_Jmin,172.177068,0.115887445
BAD,WT_Jmin,176.276522,0.107316931
BAD,WT_Jmin,180.375976,0.106113684
BAD,WT_Jmin,184.47543,0.106012465
BAD,WT_Jmin,188.574884,0.106006384
BAD,WT_Jmin,192.674338,0.105999332
BAD,WT_Jmin,196.773792,0.105999332
BAD,WT_Jmin,200.873246,0.105999332
BAD,WT_Jmin,204.9727,0.105999332
BAD,WT_BG100,0,0.100052439
BAD,WT_BG100,0.02,0.100125787
BAD,WT_BG100,0.04,0.100336465
BAD,WT_BG100,0.06,0.101197196
BAD,WT_BG100,0.08,0.101448539
BAD,WT_BG100,0.1,0.101368622
BAD,WT_BG100,0.12,0.101326922
BAD,WT_BG100,0.14,0.101407273
BAD,WT_BG100,0.16,0.101823991
BAD,WT_BG100,0.18,0.102728163
BAD,WT_BG100,0.2,0.102626782
BAD,WT_BG100,0.22,0.102720966
BAD,WT_BG100,0.24,0.103344084
BAD,WT_BG100,0.26,0.103802248
BAD,WT_BG100,0.28,0.104353797
BAD,WT_BG100,0.3,0.10547567
BAD,WT_BG100,0.32,0.106429601
BAD,WT_BG100,0.34,0.106662814
BAD,WT_BG100,0.36,0.107567133
BAD,WT_BG100,0.38,0.107977721
BAD,WT_BG100,0.4,0.11019033
BAD,WT_BG100,0.42,0.110237128
BAD,WT_BG100,0.44,0.110347627
BAD,WT_BG100,0.46,0.110715959
BAD,WT_BG100,0.48,0.115034064
BAD,WT_BG100,0.5,0.11676171
BAD,WT_BG100,0.52,0.116893171
BAD,WT_BG100,0.54,0.123347887
BAD,WT_BG100,0.56,0.145740301
BAD,WT_BG100,0.58,0.156525397
BAD,WT_BG100,0.6,0.159229747
BAD,WT_BG100,0.62,0.165188868
BAD,WT_BG100,0.64,0.165668337
BAD,WT_BG100,0.66,0.167472101
BAD,WT_BG100,0.68,0.17384523
BAD,WT_BG100,0.7,0.176988548
BAD,WT_BG100,0.72,0.17700131
BAD,WT_BG100,0.74,0.177613918
BAD,WT_BG100,0.76,0.177609701
BAD,WT_BG100,0.78,0.17789212
BAD,WT_BG100,0.8,0.178082096
BAD,WT_BG100,0.82,0.178655672
BAD,WT_BG100,0.84,0.179522369
BAD,WT_BG100,0.86,0.179304494
BAD,WT_BG100,0.88,0.179361539
BAD,WT_BG100,0.9,0.179265393
BAD,WT_BG100,0.92,0.179421614
BAD,WT_BG100,0.94,0.180321262
BAD,WT_BG100,0.96,0.181537621
BAD,WT_BG100,0.98,0.182456982
BAD,WT_BG100,1,0.184719559
BAD,WT_GDD,2537.0627,0.173541504
BAD,WT_GDD,2577.740938,0.173541504
BAD,WT_GDD,2618.419176,0.173561296
BAD,WT_GDD,2659.097414,0.174234015
BAD,WT_GDD,2699.775652,0.161155248
BAD,WT_GDD,2740.45389,0.157182853
BAD,WT_GDD,2781.132128,0.155661977
BAD,WT_GDD,2821.810366,0.156171326
BAD,WT_GDD,2862.488604,0.154398589
BAD,WT_GDD,2903.166842,0.154259525
BAD,WT_GDD,2943.84508,0.154106989
BAD,WT_GDD,2984.523318,0.152265238
BAD,WT_GDD,3025.201556,0.150434412
